case,eyelid_thickness_mm,indent_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,outer_pressure_baseline_pa,outer_pressure_noise_pa,outer_pressure_threshold_pa,outer_pressure_support_area_mm2,outer_pressure_effective_area_mm2,outer_incremental_force_n,outer_selected_faces,inner_pressure_baseline_pa,inner_pressure_noise_pa,inner_pressure_threshold_pa,inner_pressure_support_area_mm2,inner_pressure_effective_area_mm2,inner_incremental_force_n,inner_selected_faces,outer_conservative_area_mm2,pressure_effective_ratio,pressure_support_ratio,current_hybrid_ratio,effective_ratio_change_percent,probe_area_mm2,status,image
eyelid_0p80mm_indent_0p28mm,0.8,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,6.028428707338661,5.570914561552323,0.14930216979286207,393,497.0931396484,242.8474186524179,728.5422559572537,7.875176589955402,5.847920006339768,0.04919860364296855,454,13.09832156102507,0.9526317999413224,0.7654975908766004,2.2398257067171055,-57.46848528952786,14.657414684588538,diagnostic_not_approved,eyelid_0p80mm_indent_0p28mm_mechanical_area.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,6.367352247238504,5.83004609482885,0.18062353794667654,395,518.6278889973999,286.1691281982607,858.507384594782,7.713209121629209,5.7924891333435555,0.04513362551752276,444,12.99772593290124,1.006483734474201,0.8255127206888916,2.243893019683346,-55.145645284986266,14.657414684588538,diagnostic_not_approved,eyelid_1p00mm_indent_0p28mm_mechanical_area.png
eyelid_1p20mm_indent_0p28mm,1.2,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,6.892976657901766,6.167203756532118,0.21299062190949808,438,506.8723754882501,321.2360930419367,963.7082791258101,7.5735738356286255,5.809593286604638,0.04119456120690509,435,13.216766924755813,1.0615551644126333,0.9101352686990252,2.2749900505479665,-53.33803046053141,14.657414684588538,diagnostic_not_approved,eyelid_1p20mm_indent_0p28mm_mechanical_area.png
eyelid_1p25mm_indent_0p28mm,1.25,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,7.003937806171471,6.254162849143863,0.2205398430151692,440,498.35156249994986,310.202287756264,930.606863268792,7.842682793857129,5.901715937537801,0.04046678166231466,449,13.083264947523984,1.0597193960767115,0.8930538172036468,2.216857789496105,-52.197231545574816,14.657414684588538,diagnostic_not_approved,eyelid_1p25mm_indent_0p28mm_mechanical_area.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,7.341428607254835,6.527000266068056,0.24130791109489744,446,472.50565592449993,332.79948020012745,998.3984406003824,7.720445964309878,5.96258299901273,0.037297713956815394,441,13.112436257454446,1.0946598591833072,0.9509073233842752,2.1991201228772113,-50.22282558393796,14.657414684588538,diagnostic_not_approved,eyelid_1p40mm_indent_0p28mm_mechanical_area.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,7.4821478999176305,6.7079948827202145,0.2587795249463425,469,469.9464518228999,337.06038669442864,1011.1811600832859,7.9067610685434815,6.08679748897944,0.03549634472995989,451,13.239575454299386,1.102056523954591,0.9462974579673153,2.175129939556973,-49.33376144971569,14.657414684588538,diagnostic_not_approved,eyelid_1p50mm_indent_0p28mm_mechanical_area.png
eyelid_1p60mm_indent_0p28mm,1.6,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,7.76694085979913,6.953291068240162,0.27552344475386037,476,467.6884765624998,342.41375751955604,1027.2412725586682,8.109297002789624,6.267609656578201,0.03451643307827065,463,13.064324502540066,1.1094007842275724,0.9577822660986861,2.0844189760331258,-46.77649757637106,14.657414684588538,diagnostic_not_approved,eyelid_1p60mm_indent_0p28mm_mechanical_area.png
