strategy,status,background_mesh_mm,nominal_local_target_mm,refinement_halfwidth_mm,refinement_level,selected_parent_elements,solid_elements_before,solid_elements_after,solid_nodes_before,solid_nodes_after,element_growth_ratio,node_growth_ratio,mapdl_error_count,mapdl_warning_count,shape_warning_elements,shape_error_elements,run_completed,wall_seconds,maximum_rss_kib,db_size_bytes,db_sha256,source_dir
G015,complete,0.15,0.15,1.8,0,0,1292705,1292705,1813547,1813547,1.0,1.0,0,2,14,0,True,18.9,3983120,880214016,447aefb87e36ffa664c6d786d3a1f36722dcd2b39b256181d0ce95a7567c01c5,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260810T152200Z_8768e6ec_aggressive_mesh_preflight/G015
L010,complete,0.2,0.1,1.8,1,44812,538725,817237,769607,1160408,1.5169836187294075,1.5077929384737925,0,1,32,0,True,20.6,3001528,559546368,2789e1dd89bb0f20fdbe7ddcf648287d3dd41167bcb762f43ac090f816bf6bc5,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260810T152200Z_8768e6ec_aggressive_mesh_preflight/L010
