2026-08-13T02:54:29Z,iop0,104441560,456999936
2026-08-13T02:54:39Z,iop0,104039864,456999936
2026-08-13T02:54:49Z,iop0,104007728,456999808
2026-08-13T02:54:59Z,iop0,103456868,456998784
2026-08-13T02:55:09Z,iop0,102860936,456998784
2026-08-13T02:55:19Z,iop0,102814328,456988032
2026-08-13T02:55:29Z,iop0,101354296,456933760
2026-08-13T02:55:39Z,iop0,92142816,456739840
2026-08-13T02:55:49Z,iop0,87104288,456677120
2026-08-13T02:55:59Z,iop0,81576788,456676992
2026-08-13T02:56:09Z,iop0,77984268,456676992
2026-08-13T02:56:19Z,iop0,74465552,456676992
2026-08-13T02:56:29Z,iop0,69583376,456676864
2026-08-13T02:56:39Z,iop0,66862136,456676864
2026-08-13T02:56:49Z,iop0,61633092,456676992
2026-08-13T02:56:59Z,iop0,61041604,456676864
2026-08-13T02:57:09Z,iop0,59610836,456676864
2026-08-13T02:57:19Z,iop0,58205452,456676864
2026-08-13T02:57:29Z,iop0,56888944,456676864
2026-08-13T02:57:39Z,iop0,54493852,456676864
2026-08-13T02:57:49Z,iop0,52113184,456676864
2026-08-13T02:57:59Z,iop0,51158196,456676992
2026-08-13T02:58:09Z,iop0,50677616,456676992
2026-08-13T02:58:19Z,iop0,49487040,456676992
2026-08-13T02:58:29Z,iop0,48654116,456676992
2026-08-13T02:58:39Z,iop0,47299244,456676864
2026-08-13T02:58:49Z,iop0,46685112,456676864
2026-08-13T02:58:59Z,iop0,46562356,456676864
2026-08-13T02:59:09Z,iop0,46555452,456676992
2026-08-13T02:59:19Z,iop0,97607192,456676992
2026-08-13T02:59:29Z,iop0,97216976,456670720
2026-08-13T02:59:39Z,iop0,97184792,456667392
2026-08-13T02:59:49Z,iop0,97128204,455903872
2026-08-13T02:59:59Z,iop0,92243292,455135232
2026-08-13T03:00:09Z,iop0,85313716,455131008
2026-08-13T03:00:19Z,iop0,79262296,455131008
2026-08-13T03:00:29Z,iop0,75498272,455131008
2026-08-13T03:00:39Z,iop0,72745208,455131008
2026-08-13T03:00:49Z,iop0,68272488,455131008
2026-08-13T03:00:59Z,iop0,64503304,455131008
2026-08-13T03:01:09Z,iop0,59123152,455130880
2026-08-13T03:01:19Z,iop0,58457148,455130752
2026-08-13T03:01:29Z,iop0,57590588,455130752
2026-08-13T03:01:39Z,iop0,55576672,455130752
2026-08-13T03:01:49Z,iop0,54538728,455130752
2026-08-13T03:01:59Z,iop0,52488408,455130752
2026-08-13T03:02:09Z,iop0,49586828,455130752
2026-08-13T03:02:19Z,iop0,48555180,455130624
2026-08-13T03:02:29Z,iop0,48230752,455130624
2026-08-13T03:02:39Z,iop0,47129904,455130624
2026-08-13T03:02:49Z,iop0,46212468,455130496
2026-08-13T03:02:59Z,iop0,44778824,455130496
2026-08-13T03:03:09Z,iop0,44087968,455130496
