case,eyelid_thickness_mm,indent_mm,actual_iop_mmhg,outer_ae_lower_mm2,inner_ac_5deg_mm2,approved_kgeo_5deg,probe_area_mm2,effective_k_for_full_probe_pressure,force_iop_n,force_zero_baseline_n,probe_pressure_iop_mmhg,probe_pressure_zero_baseline_mmhg,delta_force_n,delta_probe_pressure_mmhg,delta_ae_pressure_mmhg,calculated_iop_mmhg,signed_error_mmhg,absolute_error_mmhg,relative_error_percent,status,zero_manifest,zero_attempt_dir,zero_git_commit
eyelid_0p80mm_indent_0p28mm,0.8,0.28,20.0,13.087867881019081,6.225387142968553,2.1023379880561417,14.65741468458854,2.35445834097945,0.11499258753282,,58.8451469145703,,,,,,,,,missing_zero_baseline,,,
eyelid_1p00mm_indent_0p28mm,1.0,0.28,20.0,13.13244214100981,5.937382417836331,2.211823530443145,14.65741468458854,2.46866609780037,0.14121869867232,,72.26583250929404,,,,,,,,,missing_zero_baseline,,,
eyelid_1p20mm_indent_0p28mm,1.2,0.28,20.0,13.036319583327078,5.411004803295312,2.4092234358003037,14.65741468458854,2.708815685334847,0.16890627536396,,86.4343937451474,,,,,,,,,missing_zero_baseline,,,
eyelid_1p25mm_indent_0p28mm,1.25,0.28,20.0,12.956443394071282,5.344842004794155,2.424102224621375,14.65741468458854,2.7423476075515985,0.17573429978338,0.16191409651865,89.92849809324173,82.85628666682999,0.013820203264730019,7.072211426411742,8.000678308171832,19.394462085319315,-0.605537914680685,0.605537914680685,-3.027689573403425,validated,/home/xuanyu/PROJECT/ziyu/blueknow-data/zero_iop/20260729T070038Z_447b349f_geometry_zero_t1p25_mesh0p30_np8/run/run_manifest.csv,eyelid_1p25mm_indent_0p28mm/attempt_1,447b349f41d1ef26cdb6a3d587fca974735e715a
eyelid_1p40mm_indent_0p28mm,1.4,0.28,20.0,13.003298875824354,5.039474393844641,2.5802887086214703,14.65741468458854,2.908520520015248,0.19613956508201,,100.37048274713047,,,,,,,,,missing_zero_baseline,,,
eyelid_1p50mm_indent_0p28mm,1.5,0.28,20.0,13.176858418654758,4.834328097805413,2.7256855869249987,14.65741468458854,3.031944540802352,0.20982014586178,,107.37124517133844,,,,,,,,,missing_zero_baseline,,,
eyelid_1p60mm_indent_0p28mm,1.6,0.28,20.0,13.068393802074468,4.5786135236887615,2.854225134849537,14.65741468458854,3.2012779870487496,0.22301896886945,,114.1254777323205,,,,,,,,,missing_zero_baseline,,,
eyelid_1p80mm_indent_0p28mm,1.8,0.28,20.0,13.044687651567562,4.357146846216153,2.993859998750299,14.65741468458854,3.3639937330359606,0.2488258549019,,127.3316332991188,,,,,,,,,missing_zero_baseline,,,
eyelid_2p00mm_indent_0p28mm,2.0,0.28,20.0,13.26683870296757,3.952422487603536,3.3566347587025356,14.65741468458854,3.7084635386425346,0.27290762702297,,139.65499647262,,,,,,,,,missing_zero_baseline,,,
