role	path	size_bytes	allocated_bytes	mtime_utc	sha256	pre_delete_status
iop0	/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260814T025331Z_6ef45199_L010_h1p25_iop0_ooc_last_np4/iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm.rst	1710686208	1282221056	2026-08-14T08:39:12Z	a9f14eee4ccc6dc7d55b878ed6872828436500b442c49b6a7ff9f16f1be6d341	verified
iop20	/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260813T140838Z_6ef45199_L010_h1p25_iop20_ooc_last_np4/iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm.rst	1788280832	1355564032	2026-08-13T21:11:27Z	9cb58e16f9430696a533bf384fc858210659420a865dca144e8d2f7407715084	verified
