eyelid_thickness_mm,candidate_indent_mm,pre_slope_n_per_mm,post_slope_n_per_mm,slope_change_fraction,two_segment_sse_improvement,local_pre_slope_n_per_mm,local_post_slope_n_per_mm,local_slope_jump_fraction,assessment
0.8,0.375,0.6131268553919034,0.8919037085691828,0.3125638457367793,0.964534181607803,0.7318170753289981,0.7722370130015981,0.05234136280970561,smooth_transition
1.0,0.375,0.7593394126455533,1.1028594123138358,0.3114812240189038,0.9627902575059585,0.8988736880417973,0.9661929296103977,0.06967474042243903,smooth_transition
1.2,0.35,0.8814925570495159,1.3109474292175312,0.32759122341339436,0.9646489913237958,1.074263376328403,1.1082621624192017,0.030677566413152127,smooth_transition
1.4,0.35,1.026392344836469,1.5323549889681853,0.33018631307645463,0.9659760725319243,1.262246938259403,1.3068059258258033,0.034097632009314906,smooth_transition
1.6,0.325,1.1222956308613599,1.728795991572944,0.35082240106292717,0.9680716477370925,1.3592612346884039,1.494750819291994,0.09064359280148539,smooth_transition
1.8,0.325,1.2513379438139585,1.931031962015331,0.35198486175858346,0.9680989110935724,1.5442053382294056,1.6484971537621964,0.06326478349979327,smooth_transition
2.0,0.325,1.3848200739214573,2.1258642796132197,0.3485849086408226,0.9668905150673692,1.7139280485988069,1.834514042129595,0.06573184547053443,smooth_transition
