mesh_size_mm,eyelid_thickness_mm,iop_mmhg,np_used,campaign_workers,started_at_utc,ended_at_utc,elapsed_seconds,status,returncode,source_manifest,source_git_commit,timing_note
0.30,1.60,0,8,2,2026-07-29T08:02:14+00:00,2026-07-29T08:18:03+00:00,948.324,complete,0,/home/xuanyu/PROJECT/ziyu/blueknow-data/zero_iop/20260729T074121Z_fcde428b_remaining8_mesh0p30_np8_workers2/run/run_manifest.csv,fcde428b1af9cf7081fabd31a69f7d6d16317b09,historical_baseline_campaign
0.30,1.80,0,8,2,2026-07-29T08:12:55+00:00,2026-07-29T08:33:08+00:00,1212.320,complete,0,/home/xuanyu/PROJECT/ziyu/blueknow-data/zero_iop/20260729T074121Z_fcde428b_remaining8_mesh0p30_np8_workers2/run/run_manifest.csv,fcde428b1af9cf7081fabd31a69f7d6d16317b09,historical_baseline_campaign
0.30,2.00,0,8,2,2026-07-29T08:18:03+00:00,2026-07-29T08:40:18+00:00,1333.968,complete,0,/home/xuanyu/PROJECT/ziyu/blueknow-data/zero_iop/20260729T074121Z_fcde428b_remaining8_mesh0p30_np8_workers2/run/run_manifest.csv,fcde428b1af9cf7081fabd31a69f7d6d16317b09,historical_baseline_campaign
0.30,1.60,20,4,1,2026-07-24T12:08:39+00:00,2026-07-24T12:30:21+00:00,1301.920,complete,0,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260724_371ed27_geometry_zero_middle/run_manifest.csv,371ed27d6a624be7352eb57688f978cbe4b03e2c,historical_baseline_campaign
0.30,1.80,20,4,1,2026-07-24T12:30:21+00:00,2026-07-24T12:57:38+00:00,1635.951,complete,0,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260724_371ed27_geometry_zero_middle/run_manifest.csv,371ed27d6a624be7352eb57688f978cbe4b03e2c,historical_baseline_campaign
0.30,2.00,20,4,1,2026-07-24T10:58:58+00:00,2026-07-24T11:43:11+00:00,2651.250,complete,0,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260724_371ed27_geometry_zero_smoke/run_manifest.csv,371ed27d6a624be7352eb57688f978cbe4b03e2c,historical_baseline_campaign
