event_id,mesh_size_mm,started_at_utc,ended_at_utc,elapsed_seconds,maximum_concurrent_cases,np_per_case,maximum_mpi_ranks,outcome,numerical_endpoint_accepted,external_root,note
mesh0p24_four_case_preflight,0.24,2026-08-07T09:19:50Z,2026-08-07T11:31:27Z,7897,4,4,16,actively_aborted_resource_preflight,false,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260807T091651Z_cef09f9_mesh0p24_screening,Four simultaneous cases were still mainly in load step 1; about 85 GB transient files; no endpoint used.
mesh0p20_np8_pair_preflight,0.20,2026-08-07T16:21:32Z,2026-08-07T17:15:22Z,3230,2,8,16,actively_aborted_resource_preflight,false,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260807T161926Z_cef09f9_mesh0p20_confirmation,About 35 GB rank RSS and only about seven-core aggregate throughput; no endpoint used.
mesh0p20_np4_iop20_parallel_attempt,0.20,2026-08-07T17:18:47Z,2026-08-08T01:43:55Z,30308,1,4,4,actively_aborted_pressure_run,false,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260807T171738Z_cef09f9_mesh0p20_confirmation_bounded_np4,IOP20 remained I/O constrained while IOP0 ran concurrently; no complete IOP20 endpoint used.
