case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,outer_geometric_coverage_area_mm2,outer_conservative_area_mm2,outer_displacement_clipped_area_mm2,outer_boundary_uncertainty_area_mm2,outer_boundary_faces,ae_over_ac_contact_diagnostic,ae_over_ac_hybrid,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.1,1.5,2.0,269.2655967173,240.85873597507336,481.7174719501467,7.14745410647114,5.119019935884497,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,0.9884793844999146,2.5611658548429856,0.04064801372235394,-0.02498321455375488,-0.0002964154645680693,414,candidate_not_approved
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.1,1.5,3.0,269.2655967173,240.85873597507336,722.57620792522,6.9048678144784486,5.0830651799220465,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,0.9954713339999902,2.579282107543025,0.040499206499138324,-0.0270187396348257,-0.0007168806285706388,402,candidate_not_approved
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.1,1.5,4.0,269.2655967173,240.85873597507336,963.4349439002934,6.486477367613027,5.000594759561068,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,1.0118887689891614,2.62181994351382,0.04015117121563263,-0.028337169080472787,0.0009829269873318678,384,candidate_not_approved
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.2,1.6,2.0,396.6335645155,191.11324088851072,382.22648177702143,7.114344986966169,5.049490368838963,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,1.002090370682173,2.5964321371826786,0.03972525735772956,-0.025486233651121307,2.0645472955746727e-05,412,candidate_not_approved
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.2,1.6,3.0,396.6335645155,191.11324088851072,573.3397226655321,6.926340074608322,5.026643828301846,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,1.0066449599981582,2.6082331507615657,0.03963233725534452,-0.02684988303428265,-0.0006503889998979189,403,candidate_not_approved
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.2,1.6,4.0,396.6335645155,191.11324088851072,764.4529635540429,6.592591210492312,4.9728229796749055,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,1.017539875468621,2.636462050556443,0.03941021765623573,-0.028696518691626236,-0.0002928583458347965,389,candidate_not_approved
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.3,1.7,2.0,524.19960754085,143.28954718022882,286.57909436045765,7.097789883635875,4.9800310898741555,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,1.0160670855558387,2.6326460283964224,0.0388134752882549,-0.026165271558510596,-0.00020792579306200043,411,candidate_not_approved
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.3,1.7,3.0,524.19960754085,143.28954718022882,429.86864154068644,6.973937568885932,4.969034913933081,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,1.0183155810150633,2.638471916002413,0.038769596565565896,-0.02698327760580096,-0.0008456489085378886,405,candidate_not_approved
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.3,1.7,4.0,524.19960754085,143.28954718022882,573.1581887209153,6.658006151254469,4.929447972272883,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,1.0264933728741232,2.659660705172795,0.03860965249578901,-0.027521127838806093,5.575860671580344e-05,392,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.1,1.5,2.0,253.16674217065008,275.42907119426064,550.8581423885213,7.2677209700006395,5.176972583547636,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.0491401341670874,2.5309540346593304,0.03740869109905028,-0.02702086255288782,-0.00020456274617586335,420,candidate_not_approved
