case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,outer_geometric_coverage_area_mm2,outer_conservative_area_mm2,outer_displacement_clipped_area_mm2,outer_boundary_uncertainty_area_mm2,outer_boundary_faces,ae_over_ac_contact_diagnostic,ae_over_ac_hybrid,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_0p80mm_effective_indent_0p28mm,0.8,1.2,1.6,3.0,396.6335645155,191.11324088851072,573.3397226655321,6.926340074608322,5.026643828301846,5.0600456754659,14.65741468458854,13.110659070047902,14.657544003792523,1.5468849337446215,146,1.0066449599981582,2.6082331507615657,0.03963233725534452,-0.02684988303428265,-0.0006503889998979189,403,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.2,1.6,3.0,411.71435779995,226.9238553918411,680.7715661755233,6.873301060563935,5.029147128411317,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.079978289002303,2.60534824555624,0.03605833101599544,-0.02991466660008677,-0.0012782532406142098,400,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.2,1.6,3.0,407.32190148714994,255.7471383955049,767.2414151865147,6.891026790734655,5.1229875750675005,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.1084612990352174,2.5621288038010612,0.03287026539875156,-0.030162942267211158,-0.0013192757148516438,400,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.2,1.6,3.0,400.54260467255017,261.3007422797995,783.9022268393985,6.976325303825711,5.187853876171895,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.1078032901333927,2.495054142577538,0.03229874798512408,-0.028065715933938938,-0.00038696962680287954,403,candidate_not_approved
eyelid_1p40mm_effective_indent_0p28mm,1.4,1.2,1.6,3.0,389.16270728309996,274.39870518889165,823.196115566675,7.115986586643644,5.37921777294064,6.0079842837038,14.65741468458854,13.137146216170427,14.657243158807123,1.5200969426366964,143,1.1168880936418075,2.442203824179586,0.030534883547803225,-0.02770014437359858,-0.0005425139207258726,410,candidate_not_approved
eyelid_1p50mm_effective_indent_0p28mm,1.5,1.2,1.6,3.0,383.87174317485005,279.45218371674423,838.3565511502327,7.115955187861303,5.473724645061185,6.0534971264567,14.65741468458854,13.166005279019537,14.657082845185432,1.4910775661658953,146,1.1059191901292718,2.405310119298551,0.029200523894718066,-0.030053746107589846,-0.00011450507875044555,410,candidate_not_approved
eyelid_1p60mm_effective_indent_0p28mm,1.6,1.2,1.6,3.0,387.7633134217001,285.50840437256164,856.5252131176849,7.391683462294985,5.685739180534934,6.3553254343572005,14.65741468458854,13.058885448767755,14.656893563470499,1.5980081147027434,142,1.1177659109152576,2.2967788416103763,0.028642840201534413,-0.030063996452596414,-0.0003055596510310846,426,candidate_not_approved
