case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,ae_over_ac_pressure,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_0p80mm_indent_0p28mm,0.8,1.1,1.5,2.0,333.71970621749995,307.9325089599795,615.865017919959,8.157819471499295,5.973761289244954,6.0284287073387,1.0091512558749491,0.05070399222449667,-0.02496847704534914,-1.2627322263668524e-05,469,candidate_not_approved
eyelid_0p80mm_indent_0p28mm,0.8,1.1,1.5,3.0,333.71970621749995,307.9325089599795,923.7975268799385,7.804064633631924,5.9101631087137205,6.0284287073387,1.0200105473316994,0.05041985431316933,-0.02716056570227321,0.001483508980204103,450,candidate_not_approved
eyelid_0p80mm_indent_0p28mm,0.8,1.1,1.5,4.0,333.71970621749995,307.9325089599795,1231.730035839918,7.387198493802316,5.8162836581929,6.0284287073387,1.0364743299352277,0.049992126592195645,-0.026088328683614808,0.00024233792271249004,429,candidate_not_approved
eyelid_0p80mm_indent_0p28mm,0.8,1.2,1.6,2.0,497.0931396484,242.8474186524179,485.6948373048358,8.139889616565199,5.8855434194637635,6.0284287073387,1.0242773313679767,0.0493627272354316,-0.025985034813143962,3.203488664089066e-05,468,candidate_not_approved
eyelid_0p80mm_indent_0p28mm,0.8,1.2,1.6,3.0,497.0931396484,242.8474186524179,728.5422559572537,7.875176589955402,5.847920006339768,6.0284287073387,1.030867163162841,0.04919860364296855,-0.027191683515454736,0.0002649794893814192,454,candidate_not_approved
eyelid_0p80mm_indent_0p28mm,0.8,1.2,1.6,4.0,497.0931396484,242.8474186524179,971.3896746096716,7.41327682973747,5.761088256978761,6.0284287073387,1.046404505266187,0.048812843487894275,-0.025863326844573428,0.0006952085080588725,430,candidate_not_approved
eyelid_0p80mm_indent_0p28mm,0.8,1.3,1.7,2.0,656.0216267903498,190.22688244627085,380.4537648925417,8.121958953388742,5.796472184935103,6.0284287073387,1.040016843866938,0.048062804141380054,-0.026867594950019877,2.891419198990493e-05,467,candidate_not_approved
eyelid_0p80mm_indent_0p28mm,0.8,1.3,1.7,3.0,656.0216267903498,190.22688244627085,570.6806473388126,7.875176589955402,5.76937129864059,6.0284287073387,1.0449021904274303,0.0479470137415512,-0.02756509714193544,0.00021515823183331824,454,candidate_not_approved
eyelid_0p80mm_indent_0p28mm,0.8,1.3,1.7,4.0,656.0216267903498,190.22688244627085,760.9075297850834,7.474178625344052,5.70859533701614,6.0284287073387,1.0560266320242864,0.04768336132527045,-0.026932321576357166,0.0003845336976366514,433,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.1,1.5,2.0,320.1047363281,345.70514641111424,691.4102928222285,8.26082117599825,6.006778599319257,6.3673522472385,1.0600277905964617,0.047166346216789445,-0.026157967258238893,-0.000560015529482818,472,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.1,1.5,3.0,320.1047363281,345.70514641111424,1037.1154392333428,7.780905249443752,5.903940136897233,6.3673522472385,1.0784920069641508,0.046736243752155585,-0.02722447452880129,0.00015766416100024524,447,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.1,1.5,4.0,320.1047363281,345.70514641111424,1382.820585644457,7.261414026071834,5.760207571940855,6.3673522472385,1.1054032632877973,0.04611736317748984,-0.02950641094426891,-0.0010552558102951686,420,candidate_not_approved
