case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,outer_geometric_coverage_area_mm2,ae_over_ac_contact_diagnostic,ae_over_ac_hybrid,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_0p80mm_indent_0p28mm,0.8,1.2,1.6,3.0,497.0931396484,242.8474186524179,728.5422559572537,7.875176589955402,5.847920006339768,6.0284287073387,14.65741468458854,1.030867163162841,2.5064321448819995,0.04919860364296855,-0.027191683515454736,0.0002649794893814192,454,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.2,1.6,3.0,518.6278889973999,286.1691281982607,858.507384594782,7.713209121629209,5.7924891333435555,6.3673522472385,14.65741468458854,1.099242847187375,2.5304172950822523,0.04513362551752276,-0.027381839675614448,-0.0001233856530050142,444,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.2,1.6,3.0,506.8723754882501,321.2360930419367,963.7082791258101,7.5735738356286255,5.809593286604638,6.8929766579018,14.65741468458854,1.1864817927608036,2.5229674370466864,0.04119456120690509,-0.02798525593873585,0.0003028903655543394,435,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.2,1.6,3.0,498.35156249994986,310.202287756264,930.606863268792,7.842682793857129,5.901715937537801,7.0039378061715,14.65741468458854,1.1867629483186455,2.483585255494967,0.04046678166231466,-0.028710643139401214,0.0001740332222343696,449,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.2,1.6,3.0,472.50565592449993,332.79948020012745,998.3984406003824,7.720445964309878,5.96258299901273,7.3414286072548,14.65741468458854,1.231249713164643,2.4582323947550044,0.037297713956815394,-0.028037372319786657,-0.000613599077482267,441,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.2,1.6,3.0,469.9464518228999,337.06038669442864,1011.1811600832859,7.9067610685434815,6.08679748897944,7.4821478999176,14.65741468458854,1.2292421283054902,2.4080667561434046,0.03549634472995989,-0.0304283055657187,-1.2753953253621902e-05,451,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.2,1.6,3.0,467.6884765624998,342.41375751955604,1027.2412725586682,8.109297002789624,6.267609656578201,7.7669408597991,14.65741468458854,1.2392189822554232,2.3385972464326614,0.03451643307827065,-0.029641088916839368,0.00026819026635851474,463,candidate_not_approved
