case,profile,offset_mm,indent_mm,eyelid_thickness_mm,cornea_thickness_mm,mesh_size_mm,status,failure_reason,attempt_count,selected_attempt,np_used,returncode,started_at_utc,ended_at_utc,elapsed_seconds,timeout_seconds,ansys_error_count,views_count,artifact_pruned_files,artifact_pruned_bytes,artifact_prune_error,probe_fx_n,probe_fy_n,contact_area_m2,contact_x_center_m,pmax_pa,max_penetration_m,n_outer,inner_max_downward_m,inner_effect_area_m2,inner_area_1deg_m2,inner_area_2deg_m2,inner_area_3deg_m2,inner_face_count,cornea_peak_pa,eyelid_peak_pa,probe_uy_m,probe_uy_max_m,commanded_push_m,preload_converged,indentation_converged,result_load_step,result_time,result_rst,attempt_dir,git_commit,git_dirty
eyelid_0p80mm_indent_0p26mm,thickness,0.0,0.26,0.8,0.6,0.3,complete,,1,1,4,0,2026-07-21T01:58:01+00:00,2026-07-21T02:22:05+00:00,1443.813,7200,0,9,21,3006598838,,5.2745495968725e-07,-0.16139872108521,5.7023962183322e-06,8.5814090335386e-07,40503.3671875,9.1455895017134e-06,370,0.00031510203648075,4.58839059772961e-05,2.35391975792908e-06,3.91299848807224e-06,5.05525828105204e-06,4086.0,63264.428159778,32794.958935147,-0.00031,-0.00031,0.00031000000000000005,1,1,2.0,2.0,eyelid_0p80mm_indent_0p26mm/attempt_1/eyelid_0p80mm_indent_0p26mm.rst,eyelid_0p80mm_indent_0p26mm/attempt_1,a847e78faf78b9373df3f7da94e708f2c53dd298,false
eyelid_1p00mm_indent_0p26mm,thickness,0.0,0.26,1.0,0.6,0.3,complete,,1,1,4,0,2026-07-21T01:58:01+00:00,2026-07-21T02:28:07+00:00,1806.249,7200,0,9,21,3343315666,,5.7677533653968e-07,-0.18982063557676,6.1058248466139e-06,-6.8414607799905e-08,44921.98828125,1.1476836031458e-05,378,0.000299730836170127,4.9055303661124e-05,1.55664654158076e-06,2.9356042191813e-06,4.31898075828826e-06,4086.0,59822.892941474,32114.672813609,-0.00031,-0.00031,0.00031000000000000005,1,1,2.0,2.0,eyelid_1p00mm_indent_0p26mm/attempt_1/eyelid_1p00mm_indent_0p26mm.rst,eyelid_1p00mm_indent_0p26mm/attempt_1,a847e78faf78b9373df3f7da94e708f2c53dd298,false
eyelid_1p20mm_indent_0p26mm,thickness,0.0,0.26,1.2,0.6,0.3,complete,,1,1,4,0,2026-07-21T01:58:01+00:00,2026-07-21T02:30:35+00:00,1953.947,7200,0,9,21,3585388714,,4.9954550101516e-07,-0.21828694221023,6.388069511587e-06,-5.8467695713882e-06,48871.84375,1.175299166789e-05,405,0.000282840282522939,5.15630988613236e-05,8.30124831265237e-07,2.30950171596457e-06,3.74882114614935e-06,4086.0,56584.058587928,31052.806105601,-0.00031,-0.00031,0.00031000000000000005,1,1,2.0,2.0,eyelid_1p20mm_indent_0p26mm/attempt_1/eyelid_1p20mm_indent_0p26mm.rst,eyelid_1p20mm_indent_0p26mm/attempt_1,a847e78faf78b9373df3f7da94e708f2c53dd298,false
eyelid_1p60mm_indent_0p26mm,thickness,0.0,0.26,1.6,0.6,0.3,invalid_metrics,inner geometric metrics are not positive,1,1,4,0,2026-07-21T01:58:01+00:00,2026-07-21T04:59:46+00:00,10645.483,7200,7,9,0,0,,0.018168914924569,-79.782390477985,1.411697377085e-05,4.1071264573253e-06,10903189.666667,2.704037130267e-05,724,2.03400572725698e-07,4.8161376294745e-06,0.0,3.73828760928915e-07,5.75703288030581e-07,4086.0,14992.356395142,545818.38121189,-0.00031,-0.00031,0.00031000000000000005,1,1,2.0,2.0,eyelid_1p60mm_indent_0p26mm/attempt_1/eyelid_1p60mm_indent_0p26mm.rst,eyelid_1p60mm_indent_0p26mm/attempt_1,a847e78faf78b9373df3f7da94e708f2c53dd298,false
