case,eyelid_thickness_mm,cornea_thickness_mm,indent_mm,mesh_size_mm,probe_force_n,force_ratio_to_0p8,force_correction_to_0p8,outer_area_mm2,outer_area_ratio_to_0p8,mean_outer_pressure_kpa,pmax_kpa,inner_max_downward_mm,inner_effect_area_mm2,inner_area_1deg_mm2,inner_area_2deg_mm2,inner_area_3deg_mm2,ae_over_ac_1deg,ae_over_ac_2deg,ae_over_ac_3deg,max_penetration_mm,cornea_peak_kpa,eyelid_peak_kpa,elapsed_seconds,git_commit
eyelid_0p80mm_indent_0p80mm,0.8,0.6,0.8,0.3,0.6126994371576,1.0,1.0,13.813289606368,1.0,44.35579464540744,117.88066666667001,0.951486345184808,52.6485739962491,3.7322901681619998,9.0698158932837,16.361429380760903,3.7010224243016134,1.5229955898660408,0.8442593421948077,0.006373077440002799,108.61708256276,105.30506173671,1098.588,2ecc9546a26e66bfaf091dc01a422a71dcedcf43
eyelid_1p00mm_indent_0p80mm,1.0,0.6,0.8,0.3,0.7491973108698,1.2227811312271366,0.8178078434988918,13.870182413056,1.0041187007808605,54.01495730615488,108.88861458333,0.949448459545717,54.253950556441204,3.88122874433917,8.78688712606317,16.556607868500098,3.5736575519507494,1.5785092279056419,0.8377430040754195,0.0062924525536801005,119.78577494214,102.16966361088001,1499.077,2ecc9546a26e66bfaf091dc01a422a71dcedcf43
eyelid_1p20mm_indent_0p80mm,1.2,0.6,0.8,0.3,0.89103879011018,1.4542836765834743,0.6876237532620074,13.787661452103,0.9981446740787085,64.62581005528476,152.1909375,0.937196283489799,56.3089943280718,3.55581275191237,9.50850925130551,19.09302798245,3.877499298771508,1.4500339735390138,0.7221306890021003,0.0076219377357726,127.26091495455,93.73831909380799,1509.748,2ecc9546a26e66bfaf091dc01a422a71dcedcf43
eyelid_1p40mm_indent_0p80mm,1.4,0.6,0.8,0.3,1.0318958859797,1.6841795885545645,0.5937609069696914,13.655951424773999,0.9886096515690609,75.5638222400002,163.28485026042,0.916743514418429,57.557729489867704,4.41976745923362,10.368292306320601,21.420360106092698,3.0897443249518646,1.3170878116977096,0.6375220284410518,0.0083798573389989,131.52467253615,85.78807010090799,1750.42,2ecc9546a26e66bfaf091dc01a422a71dcedcf43
eyelid_1p60mm_indent_0p80mm,1.6,0.6,0.8,0.3,1.1674240343513,1.9053780100845963,0.5248302408799194,13.806497732637999,0.9995083087429897,84.55613124764851,179.73585416667,0.8917306047481,59.815143076168404,4.27480111809627,11.7634370368105,20.2293841935379,3.229740367146379,1.1736788907386755,0.6824971833323707,0.008880230249512,133.121234304,77.209244485266,1974.253,2ecc9546a26e66bfaf091dc01a422a71dcedcf43
eyelid_1p80mm_indent_0p80mm,1.8,0.6,0.8,0.3,1.2970828493701,2.116996965734867,0.47236723348484955,13.842532080587999,1.002116981186474,93.70271579063612,189.32559375,0.8623335659664639,60.757077930907,5.36957811352647,16.696579896693198,19.004950663146502,2.577955248610196,0.8290639260397005,0.7283645364800014,0.009240899771612,132.45146020676998,77.029982279572,2434.036,2ecc9546a26e66bfaf091dc01a422a71dcedcf43
eyelid_2p00mm_indent_0p80mm,2.0,0.6,0.8,0.3,1.4252590267047,2.3261960763611595,0.42988637551323183,13.915462635961001,1.0073967195725702,102.42268359957201,215.91855338542,0.8298693205249891,62.110725814674204,6.34987715057229,15.801674281129998,17.6528818289252,2.191453835403234,0.8806321651990088,0.7882827727968905,0.010157772749152999,130.07532636583,77.186005369822,2832.563,2ecc9546a26e66bfaf091dc01a422a71dcedcf43
