case,eyelid_thickness_mm,selected_window_diameter_mm,selected_height_tolerance_um,selected_flattening_minimum,outer_contact_area_mm2,outer_binary_area_mm2,outer_curvature_area_mm2,outer_relative_error,outer_contact_overlap,outer_contact_equivalent_area_mm2,outer_contact_equivalent_iou,outer_contact_equivalent_precision,outer_contact_equivalent_recall,inner_binary_area_mm2,inner_curvature_area_mm2,inner_unweighted_candidate_area_mm2,inner_selected_faces,ae_over_ac_curvature,inner_centroid_x_mm,inner_centroid_z_mm,inner_contact_equivalent_area_mm2,inner_contact_equivalent_faces,ae_over_ac_contact_equivalent,inner_contact_equivalent_centroid_x_mm,inner_contact_equivalent_centroid_z_mm,status
eyelid_0p80mm_indent_0p28mm,0.8,1.0,6.0,0.1,6.028428707338666,3.771781918224512,5.103014124016179,0.15350842288239058,0.9322594536589224,6.1506318709626004,0.9800785659062313,0.9800785659062312,1.0,2.3427961853991897,5.974083105271112,14.265332588014662,786,0.8541920214524027,0.0028900672807069252,-0.0018908987445383219,12.538969781816807,663,0.4905213090059316,-0.0018146034451724893,0.00021836578023960162,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.0,6.0,0.1,6.367352247238498,3.950982997973247,4.979620805984364,0.21794482029103832,0.9731318939203804,6.235004930672265,0.9793042523447753,1.0,0.9793042523447753,1.9004651645354689,5.912328751183155,14.596628208705662,804,0.8422435584265945,0.001323269475817664,-0.0005362248071484268,13.373865471969065,695,0.46620813883170237,0.008063629268066657,0.004698724017720992,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.0,6.0,0.1,6.892976657901766,4.086842197430513,5.052256327334063,0.26704287884938543,0.9919196051398219,6.300494916796931,0.9141401429325432,1.0,0.9141401429325432,1.4716490559964992,5.71520503607992,14.654717099334228,807,0.8840026377775283,-0.00011332476176617518,-0.0008440740837995026,13.936812212068912,721,0.45207575598535144,-0.0010925358075393062,-0.0003840238261248343,candidate_not_approved
eyelid_1p25mm_indent_0p28mm,1.25,1.0,6.0,0.1,7.003937806171478,4.154830994852134,5.076656496232205,0.2751711056373259,0.9950351837529553,6.360909831993508,0.9082785912385176,1.0,0.9082785912385177,1.3528008682654338,5.646927349504715,14.657550918981006,808,0.8990121852156417,0.00017759894959795458,-0.0008251868173599732,14.003740221686648,724,0.45422935096602235,-0.003812324966251319,-0.003163543158469316,candidate_not_approved
eyelid_1p40mm_indent_0p28mm,1.4,1.0,6.0,0.1,7.341428607254838,4.276740192236646,5.196894922123366,0.2921139467340502,0.9994101897941433,6.536004785572548,0.8904264910850831,1.0,0.8904264910850832,0.5729217297913424,5.443692878975049,14.657185695056352,808,0.9546635046578618,0.00020097404726617557,-0.0007567024344778208,14.323552986655296,747,0.45631169805856775,-0.001992170856827311,-0.005660900014902591,candidate_not_approved
eyelid_1p50mm_indent_0p28mm,1.5,1.0,6.0,0.1,7.482147899917635,4.453028602811424,5.274588599462047,0.2950435262686921,0.9999823723268678,6.5476431386997,0.8751885421306229,1.0,0.8751885421306228,0.0,5.310414339560015,14.657501343682137,808,0.9932536827058702,-0.00034394914709265617,-0.0007335224140857847,14.370355243123258,752,0.45563544031613185,-0.001967687740123427,-0.004392315200462378,candidate_not_approved
eyelid_1p60mm_indent_0p28mm,1.6,1.0,6.0,0.1,7.766940859799128,4.666699301601971,5.420227321887925,0.30214129092414577,1.0,6.69261058048214,0.8617665888123367,1.0,0.8617665888123367,0.0,5.157379775176085,14.657445890057765,808,1.0509653270013193,0.00014215002946829433,-0.0006590691237518552,14.250759602258581,742,0.46963184891712284,0.0003486057255331816,-0.0035961246125462247,candidate_not_approved
