iop_mmhg,probe_force_n,probe_pressure_mmhg,delta_force_from_zero_n,delta_probe_pressure_from_zero_mmhg,secant_force_gain_n_per_mmhg,secant_probe_gain,adjacent_force_gain_n_per_mmhg,fixed_baseline_linear_fit_force_n,fixed_baseline_linear_residual_n,inferred_baseline_from_free_linear_slope_n,manifest,attempt_dir,git_commit
0.0,0.16191409651865,82.85628666682999,0.0,0.0,,,,0.16191409651865,0.0,0.16191409651865,/home/xuanyu/PROJECT/ziyu/blueknow-data/zero_iop/20260729T070038Z_447b349f_geometry_zero_t1p25_mesh0p30_np8/run/run_manifest.csv,eyelid_1p25mm_indent_0p28mm/attempt_1,447b349f41d1ef26cdb6a3d587fca974735e715a
10.0,0.17046940635356,87.23429463183263,0.008555309834910013,4.378007965002638,0.0008555309834910013,0.4378007965002638,0.0008555309834910013,0.16805323511067785,0.0024161712428821536,0.164967694618176,/home/xuanyu/PROJECT/ziyu/blueknow-data/multi_iop_linearity/20260729T092905Z_4e4bd740_t1p25_iop0_10_20_30_mesh0p30_np8x2/iop10/run/run_manifest.csv,eyelid_1p25mm_indent_0p28mm/attempt_1,4e4bd74097213d4ac49123664f84762d867e0e3b
20.0,0.17573429978338,89.92849809324173,0.013820203264730019,7.072211426411741,0.000691010163236501,0.35361057132058704,0.0005264893429820005,0.1741923737027057,0.0015419260806742996,0.16473087631261202,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260727T080548Z_371ed27_geometry_zero_missing_1p25_1p50/run_manifest.csv,eyelid_1p25mm_indent_0p28mm/attempt_1,371ed27d6a624be7352eb57688f978cbe4b03e2c
30.0,0.17849817115999,91.34285375475923,0.016584074641340013,8.486567087929245,0.0005528024880446671,0.2828855695976415,0.0002763871376609994,0.1803315122947336,-0.0018333411347435935,0.16199303595383802,/home/xuanyu/PROJECT/ziyu/blueknow-data/multi_iop_linearity/20260729T092905Z_4e4bd740_t1p25_iop0_10_20_30_mesh0p30_np8x2/iop30/run/run_manifest.csv,eyelid_1p25mm_indent_0p28mm/attempt_1,4e4bd74097213d4ac49123664f84762d867e0e3b
