case,eyelid_thickness_mm,indent_mm,outer_baseline_um,outer_noise_sigma_um,outer_threshold_um,outer_local_max_um,outer_support_area_mm2,outer_coverage_fraction,outer_selected_faces,outer_conservative_area_mm2,outer_conservative_coverage_fraction,outer_boundary_uncertainty_mm2,outer_strict_faces,outer_boundary_faces,inner_baseline_um,inner_noise_sigma_um,inner_threshold_um,inner_local_max_um,inner_support_area_mm2,inner_coverage_fraction,inner_selected_faces,inner_conservative_area_mm2,inner_conservative_coverage_fraction,inner_boundary_uncertainty_mm2,inner_strict_faces,inner_boundary_faces,inner_pressure_baseline_pa,inner_pressure_noise_pa,inner_pressure_threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,inner_pressure_selected_faces,image
eyelid_0p80mm_effective_indent_0p26mm,0.8,0.26,4.336236638066531,3.9124060990563976,11.737218297169193,249.6256797264001,14.657414684588538,1.0,925,13.075013243551291,0.8920408902191289,1.5825219241055606,776,149,0.38227122356676924,1.2541473872177211,3.762442161653164,265.54235148936226,14.65722548952919,0.9999870921944,808,13.006939707862932,0.8873965830781203,1.6502857816662568,684,124,358.84033224315,171.71061082056082,515.1318324616825,6.479049843676625,4.720440375675947,383,eyelid_0p80mm_effective_indent_0p26mm_displacement_support.png
eyelid_1p00mm_effective_indent_0p26mm,1.0,0.26,5.471897287483521,4.525373397531934,13.576120192595802,244.76693685352282,14.657414684588538,1.0,897,13.1423864499545,0.8966374174958013,1.5152635070887517,749,148,0.6805072710997732,1.3242913985354703,3.9728741956064106,251.8394754767789,14.657324428077112,0.9999938422625431,808,13.022058076907818,0.8884280316227795,1.6352663511692938,684,124,370.75201073079995,203.78243780272186,611.3473134081655,6.4966451876207,4.743196710223205,383,eyelid_1p00mm_effective_indent_0p26mm_displacement_support.png
eyelid_1p20mm_effective_indent_0p26mm,1.2,0.26,6.360123442266785,4.462745801807204,13.388237405421611,242.06654211259655,14.657414684588538,1.0,912,13.059729183744041,0.8909981374461368,1.5977784650438394,765,147,0.6556100122163174,0.8587753814189086,2.5763261442567256,238.73995519883002,14.657414184086388,0.9999999658533131,808,13.032033718138468,0.8891086183050365,1.62538046594792,684,124,365.28751315375007,229.5341357939271,688.6024073817813,6.479582030402035,4.836658912135259,382,eyelid_1p20mm_effective_indent_0p26mm_displacement_support.png
eyelid_1p25mm_effective_indent_0p26mm,1.25,0.26,6.622100974350157,4.675421667002367,14.026265001007102,241.9000574716496,14.657414684588538,1.0,898,12.980253418924145,0.885575914869364,1.677322162623394,755,143,0.9167150490001565,1.0999944544964724,3.299983363489417,235.79477574650113,14.657414684588538,1.0,808,13.034295895749366,0.8892629550458314,1.6234562929231873,684,124,358.78720809105016,236.11695363830466,708.3508609149139,6.586079606426949,4.900401277326408,387,eyelid_1p25mm_effective_indent_0p26mm_displacement_support.png
eyelid_1p40mm_effective_indent_0p26mm,1.4,0.26,7.178779155499931,4.330901271798185,12.992703815394556,242.32068215640024,14.657288398838357,0.9999913841729323,882,13.025674132992835,0.888674736526941,1.631614265845522,739,143,0.9177783691664485,0.7259148085977739,2.1777444257933216,228.59767137501757,14.657414684588538,1.0,808,13.040311883892391,0.8896733949680471,1.6175735137327185,684,124,347.6652588456501,248.52191184224327,745.5657355267298,6.735590734974771,5.08731890933363,393,eyelid_1p40mm_effective_indent_0p26mm_displacement_support.png
eyelid_1p50mm_effective_indent_0p26mm,1.5,0.26,7.437165721550093,4.118640242097612,12.355920726292835,241.83430178041644,14.657414684588538,1.0,921,13.044613039383616,0.8899668406802536,1.6131851706318827,775,146,1.094107874766506,0.7126010333180949,2.1378030999542847,222.81323699561284,14.657414684588538,1.0,808,13.04270517115005,0.8898366766455571,1.6147617105234913,684,124,342.53302138255003,251.84645050966682,755.5393515290004,6.9236027690022315,5.232467466671232,401,eyelid_1p50mm_effective_indent_0p26mm_displacement_support.png
eyelid_1p60mm_effective_indent_0p26mm,1.6,0.26,7.457323654951574,3.7001563197790444,11.100468959337134,240.61285443818153,14.6569237803158,0.9999665081268899,901,13.090643312402804,0.8931072494091944,1.5662804679129967,759,142,1.4643947469326901,0.8577949730276887,2.5733849190830664,215.98136809892597,14.657414684588538,1.0,808,13.043091247003579,0.8898630166149061,1.6144085045191996,684,124,346.69849904265016,260.5492807127155,781.6478421381464,7.060760755517354,5.403037369369704,407,eyelid_1p60mm_effective_indent_0p26mm_displacement_support.png
