relative_path	size_bytes	allocated_bytes	mtime_utc	class	sha256
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm0.DSPsymb	67633152	20476928	2026-08-13T07:36:44Z	solver_symbol_scratch	3c3cc3c1be3de9ad79519884c005dae052fa3b9f95475d44dacd96347b8c7744
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm1.DSPsymb	61079552	18805760	2026-08-13T07:36:44Z	solver_symbol_scratch	b71284043356d2efdeab94784ebbe6c995d12862008758a0a3b493f28a96b698
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.DSPsymb	65536000	21951488	2026-08-13T07:36:44Z	solver_symbol_scratch	10d5771aa44ac74af2efd3df762d4da999a1d6f50fd482e884cdf7a1c8fb5423
iop20/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPsymb	100663296	35705856	2026-08-13T07:36:44Z	solver_symbol_scratch	811aeb12e9a882408510df572c44b4b6c54ca888501341562d90b5deb2b4fcfe
