cleaned_at_utc,2026-08-13T13:10:27Z
files,30
apparent_bytes,20838605890
allocated_bytes,14663391232
remaining_manifest_entries,0
policy,Only incomplete DB/RST and reproducible solver scratch from the failed attempt_1 were removed after metadata and SHA-256 capture.
