audited_at_utc,2026-08-13T13:10:02Z
classification,resource_guard_abort_near_endpoint_with_converged_intermediate_states
solver_processes,0
token_processes,0
blueknow_running_units,0
run_completed_count,0
mapdl_error_count,0
