state,input_iop_mmhg,actual_indent_mm,probe_force_n,probe_total_equivalent_pressure_mmhg,zero_reference_force_n,zero_reference_pressure_mmhg,delta_force_n,delta_probe_pressure_mmhg,ksensor_delta,frozen_model_expected_ksensor,frozen_model_expected_delta_pressure_mmhg,iop_calc_mmhg,iop_error_mmhg,outer_ae_lower_mm2,inner_ac_5deg_mm2,kgeo_5deg,source_git_commit
primary_0p26,0.0,0.259875,0.14603312233753,74.72931061041781,0.14603312233753,74.72931061041781,0.0,0.0,,,0.0,0.0,0.0,13.052876225311696,5.317452780205752,2.4547234860083953,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,20.0,0.259875,0.15881784411045,81.27161710324269,0.14603312233753,74.72931061041781,0.012784721772920005,6.542306492824867,3.0570258397301573,3.1370598624293358,6.3753963510635785,20.932895446473804,0.932895446473804,12.992362429491527,4.9382329831556735,2.630973968585223,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,25.0,0.259875,0.16023377170446,81.99618760670744,0.14603312233753,74.72931061041781,0.014200649366929996,7.266876996289621,3.440267395851711,3.47236137890227,7.199711456272256,25.454908638993025,0.45490863899302525,12.981325536992436,4.705746031154027,2.758611589119042,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,30.0,0.259875,0.16142968155435,82.60816876005104,0.14603312233753,74.72931061041781,0.01539655921682001,7.878858149633224,3.807658347218316,3.807662895375204,7.87884873853672,30.000075977817616,7.597781761603528e-05,13.02073684451477,4.654786931120484,2.797278809361197,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,35.0,0.259875,0.16250468143551,83.15827683648928,0.14603312233753,74.72931061041781,0.01647155909798001,8.428966226071458,4.152347875323339,4.142964411848139,8.448057120622675,34.818073098253194,-0.18192690174680592,13.05974260410465,4.592259068391804,2.8438601589343993,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,40.0,0.259875,0.16349733912426,83.66624806633783,0.14603312233753,74.72931061041781,0.01746421678673002,8.936937455920008,4.475806191695254,4.478265928321073,8.932028745107646,40.05486215619427,0.05486215619426815,13.098559607262061,4.552776604011648,2.8770486115484672,bdca48fe1704b1cb1bf9f863a7275b0866b34f97
sensitivity_0p28,0.0,0.27999999999999997,0.16191409653827,82.85605771303821,0.16191409653827,82.85605771303821,0.0,0.0,,,0.0,0.0,0.0,13.117809389934731,5.956870681344404,2.202130966350637,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,20.0,0.27999999999999997,0.17573431824117,89.928259031543,0.16191409653827,82.85605771303821,0.01382022170290001,7.072201318504799,2.827973794760185,2.909571065123958,6.873865443512695,21.03476339782015,1.03476339782015,12.956443846627105,5.344842095422948,2.4241022681890545,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,25.0,0.27999999999999997,0.1772106201693,90.68372480243157,0.16191409653827,82.85605771303821,0.015296523631030012,7.827667089393361,3.1937995975678986,3.2222846690897566,7.758470330016527,25.436825539248943,0.4368255392489431,12.997150537482145,5.2956892835676275,2.4542887321225457,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,30.0,0.27999999999999997,0.17849819166578,91.34261183267104,0.16191409653827,82.85605771303821,0.016584095127509996,8.486554119632837,3.535003674883525,3.534998273055556,8.486567087929245,29.999902301389806,-9.769861019393034e-05,12.986023718220407,5.219701684224896,2.4878861865740474,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,35.0,0.27999999999999997,0.17965713471199,91.9356760190262,0.16191409653827,82.85605771303821,0.01774303817372,9.079618305988,3.8547875935398666,3.8477118770213545,9.096315191639219,34.85133196475416,-0.1486680352458407,13.02525639354491,5.061779071089094,2.5732565982462745,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,40.0,0.27999999999999997,0.18075910336111,92.49958478263325,0.16191409653827,82.85605771303821,0.018845006822840016,9.64352706959504,4.147859980205325,4.160425480987154,9.614401263235486,40.30533042590746,0.3053304259074565,13.064304407254397,4.978204699133277,2.624300364653333,bdca48fe1704b1cb1bf9f863a7275b0866b34f97
