input_iop_mmhg,delta_probe_pressure_mmhg,source_kind,regression_iop_mmhg,regression_error_mmhg,absolute_error_mmhg
0.0,0.0,reused_formal_matrix,0.0,0.0,0.0
2.5,0.21312253920016047,new_supplemental_solver,0.39493930216753337,-2.1050606978324664,2.1050606978324664
5.0,1.420075281027457,reused_formal_matrix,2.8602014088564647,-2.1397985911435353,2.1397985911435353
7.5,2.828621976178267,new_supplemental_solver,6.340059494363707,-1.1599405056362926,1.1599405056362926
10.0,4.054410649992031,reused_formal_matrix,10.077109149213758,0.07710914921375789,0.07710914921375789
12.5,4.943005551939201,new_supplemental_solver,13.338616358719968,0.8386163587199675,0.8386163587199675
15.0,5.599841227108005,reused_formal_matrix,16.133127787228855,1.1331277872288545,1.1331277872288545
17.5,6.114935700663478,new_supplemental_solver,18.603872166382835,1.1038721663828355,1.1038721663828355
20.0,6.542306492824867,reused_formal_matrix,20.87416060703548,0.8741606070354813,0.8741606070354813
22.5,6.912171364537767,new_supplemental_solver,23.02546436001096,0.525464360010961,0.525464360010961
25.0,7.266876996289621,reused_formal_matrix,25.27442624292781,0.2744262429278095,0.2744262429278095
27.5,7.564234291037806,new_supplemental_solver,27.318469587404888,-0.18153041259511227,0.18153041259511227
30.0,7.878858149633224,reused_formal_matrix,29.6592843441594,-0.3407156558406008,0.3407156558406008
32.5,8.157971754813781,new_supplemental_solver,31.908266553985225,-0.591733446014775,0.591733446014775
35.0,8.428966226071458,reused_formal_matrix,34.26636412000001,-0.7336358799999871,0.7336358799999871
37.5,8.687134114308124,new_supplemental_solver,36.69230980470886,-0.8076901952911371,0.8076901952911371
40.0,8.936937455920008,reused_formal_matrix,39.22671845592458,-0.7732815440754166,0.7732815440754166
42.5,9.18187963698267,new_supplemental_solver,41.91239916821423,-0.587600831785771,0.587600831785771
45.0,9.421805330298094,reused_formal_matrix,44.759657875521825,-0.24034212447817538,0.24034212447817538
47.5,9.65902083101028,new_supplemental_solver,47.81239723228176,0.31239723228176075,0.31239723228176075
50.0,9.906446283258044,reused_formal_matrix,51.28204894914341,1.2820489491434088,1.2820489491434088
