state,input_iop_mmhg,actual_indent_mm,probe_force_n,zero_reference_force_n,delta_force_n,delta_probe_pressure_mmhg,ksensor_delta,frozen_model_iop_calc_diagnostic_mmhg,frozen_model_iop_error_diagnostic_mmhg,outer_ae_lower_mm2,inner_ac_5deg_mm2,kgeo_5deg,source_kind,source_git_commit
primary_0p26,0.0,0.259875,0.14603312233753,0.14603312233753,0.0,0.0,,0.0,0.0,13.052876225311696,5.317452780205752,2.4547234860083953,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,2.5,0.259875,0.14644959814315,0.14603312233753,0.00041647580562001463,0.21312253920016047,11.730340720331084,0.38828633354886627,-2.111713666451134,13.07172094261099,5.31947640622398,2.4573322530985573,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,5.0,0.259875,0.14880817841056,0.14603312233753,0.0027750560730299967,1.420075281027457,3.5209400985998327,2.8186715947836642,-2.1813284052163358,13.093183663913575,5.234757720814007,2.50120146188496,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
primary_0p26,7.5,0.259875,0.15156070576791,0.14603312233753,0.005527583430380012,2.828621976178267,2.651467768815542,6.26893476494827,-1.2310652350517302,12.886220648037325,5.227063103011447,2.465288900111659,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,10.0,0.259875,0.15395609448354,0.14603312233753,0.00792297214601001,4.054410649992031,2.4664497169322637,10.000039605559135,3.960555913451458e-05,12.908660282313395,5.17125797835375,2.4962321230825193,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
primary_0p26,12.5,0.259875,0.15569255219959,0.14603312233753,0.009659429862060004,4.943005551939201,2.5288258062134075,13.278447920071244,0.778447920071244,12.930296496289918,5.019007443932135,2.576265654262448,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,15.0,0.259875,0.1569761150175,0.14603312233753,0.01094299267997001,5.599841227108005,2.678647374391119,16.103973991644416,1.1039739916444162,12.951321560538227,4.9306917140039115,2.6266743718238383,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
primary_0p26,17.5,0.259875,0.15798269267301,0.14603312233753,0.011949570335479998,6.114935700663478,2.8618453008592106,18.61495451961234,1.1149545196123398,12.971951968298583,4.934380269442286,2.6288918283480314,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,20.0,0.259875,0.15881784411045,0.14603312233753,0.012784721772920005,6.542306492824867,3.0570258397301573,20.932895446473804,0.932895446473804,12.992362429491527,4.9382329831556735,2.630973968585223,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,22.5,0.259875,0.15954061970704,0.14603312233753,0.013507497369510013,6.912171364537767,3.2551276311571344,23.13885696276577,0.6388569627657716,12.961550248834563,4.8280739615279575,2.6846213111309867,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,25.0,0.259875,0.16023377170446,0.14603312233753,0.014200649366929996,7.266876996289621,3.440267395851711,25.454908638993025,0.45490863899302525,12.981325536992436,4.705746031154027,2.758611589119042,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,27.5,0.259875,0.16081485580449,0.14603312233753,0.014781733466960018,7.564234291037806,3.6355299085040667,27.5688083308131,0.06880833081309845,13.00124271548237,4.70067964860411,2.765821899678518,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,30.0,0.259875,0.16142968155435,0.14603312233753,0.01539655921682001,7.878858149633224,3.807658347218316,30.000075977817616,7.597781761603528e-05,13.02073684451477,4.654786931120484,2.797278809361197,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,32.5,0.259875,0.16197511454334,0.14603312233753,0.015941992205809996,8.157971754813781,3.9838333567191744,32.34654488050932,-0.1534551194906797,13.040295115832716,4.629009525369452,2.817081071958248,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,35.0,0.259875,0.16250468143551,0.14603312233753,0.01647155909798001,8.428966226071458,4.152347875323339,34.818073098253194,-0.18192690174680592,13.05974260410465,4.592259068391804,2.8438601589343993,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,37.5,0.259875,0.16300918311629,0.14603312233753,0.016976060778760016,8.687134114308124,4.31672856739206,37.37277659670354,-0.12722340329646187,13.079157780106748,4.548681849557162,2.875373176820461,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,40.0,0.259875,0.16349733912426,0.14603312233753,0.01746421678673002,8.936937455920008,4.475806191695254,40.05486215619427,0.05486215619426815,13.098559607262061,4.552776604011648,2.8770486115484672,reused_formal_matrix,bdca48fe1704b1cb1bf9f863a7275b0866b34f97
primary_0p26,42.5,0.259875,0.1639759956407,0.14603312233753,0.017942873303170015,9.18187963698267,4.62868189088637,42.91182446362482,0.41182446362481784,13.117908300282776,4.5569122064957,2.878683570331619,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,45.0,0.259875,0.16444484913122,0.14603312233753,0.01841172679369002,9.421805330298094,4.77615472008232,45.95742338995627,0.9574233899562685,13.137182267282817,4.526129787453596,2.902520008087043,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
primary_0p26,47.5,0.259875,0.1649084064684,0.14603312233753,0.01887528413087,9.65902083101028,4.917682737312387,49.242136285183456,1.7421362851834559,13.022343367561872,4.478420230200055,2.907798441902838,new_supplemental_solver,290d0544218a3928009fc28f907a001cfed34c2c
primary_0p26,50.0,0.259875,0.16539191569714,0.14603312233753,0.01935879335961002,9.906446283258044,5.047218605979857,52.99994536701135,2.9999453670113496,13.041135870823743,4.465074208286621,2.920698573524494,reused_formal_matrix,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,0.0,0.27999999999999997,0.16191409653827,0.16191409653827,0.0,0.0,,0.0,0.0,13.117809389934731,5.956870681344404,2.202130966350637,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
