input_iop_mmhg,actual_indent_mm,delta_probe_pressure_mmhg,probe_force_n,probe_contact_force_n,probe_contact_reaction_relative_error,eyelid_cornea_interface_force_n,eyelid_cornea_tangential_y_n,support_reaction_y_n,delta_probe_force_n,delta_interface_force_n,ac5_mm2,ka_ap_over_ac5,pressure_times_ac5_force_n,tau_interface_delta,chi_pressure_equivalence,eta_effective_factorized,direct_gain_tau_times_ka,direct_area_interface_iop_mmhg,factorization_error,outer_contact_area_mm2,inner_bonded_contact_area_mm2,source_state_json,direct_rational_iop_mmhg,direct_rational_error_mmhg
0.0,0.259875,0.0,0.14603312233753,0.14620105242153,0.0011499451721087698,0.14283655206999,0.087009736539183,0.14605098988118,0.0,0.0,5.317452780205752,2.756472937409214,0.0,nan,nan,nan,nan,0.0,nan,5.6034950828288,137.27070054914,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T043130Z_23d4f22f_full_matrix/states/iop0/primary_0p26/geometry_state.json,0.0,0.0
2.5,0.259875,0.21312253920016047,0.14644959814315,0.14733176005535,0.006023655396703213,0.14336587371236,0.077572037256108,0.11426341408379,0.00041647580562001463,0.0005293216423700176,5.31947640622398,2.755424324739712,0.0017730129830942258,1.2709541232101285,3.3495947287468306,4.257181231583696,3.502017906721421,0.7463589486048999,-8.881784197001252e-16,5.612589382808499,137.36357094007002,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop2p5/primary_0p26/geometry_state.json,0.6057444445496608,-1.8942555554503393
5.0,0.259875,1.420075281027457,0.14880817841056,0.14969194321878,0.005938953205795608,0.14561263818564,0.068817379150943,0.084484334336178,0.0027750560730299967,0.0027760861156500005,5.234757720814007,2.800017778532319,0.0034895514872465734,1.0003711790295031,1.2570040488205534,1.2574706223634762,2.8010570864139464,3.977711929163235,0.0,5.6535839174642994,137.4480911589,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T061631Z_440e44e5_iop5_to50_step5/states/iop5/primary_0p26/geometry_state.json,4.05766513883511,-0.9423348611648903
7.5,0.259875,2.828621976178267,0.15156070576791,0.15246400202318,0.0059599633737074656,0.14822594684357,0.060296078865747,0.055035784018209,0.005527583430380012,0.005389394773579997,5.227063103011447,2.8041396087497055,0.00522663324584837,0.975000168058881,0.9697996649773143,0.945554836336328,2.7340365897915277,7.733555981559801,0.0,5.7377567910244,137.53003457984,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop7p5/primary_0p26/geometry_state.json,8.132892727061929,0.6328927270619289
10.0,0.259875,4.054410649992031,0.15395609448354,0.15420611848235,0.0016239954621395387,0.15060600526628,0.05171913342059,0.02523013668208,0.00792297214601001,0.0077694531962900215,5.17125797835375,2.834400207056518,0.0068944436139038645,0.9806235656404143,0.8873782285214123,0.8701840025243418,2.7794796374956916,11.269151843698522,1.1102230246251565e-16,5.7683107521633,137.61253588296,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T061631Z_440e44e5_iop5_to50_step5/states/iop10/primary_0p26/geometry_state.json,11.721034533938191,1.721034533938191
12.5,0.259875,4.943005551939201,0.15569255219959,0.155876204116,0.0011795806145857115,0.15234658018799,0.042747573095036,-0.005223672167111,0.009659429862060004,0.009510028118000002,5.019007443932135,2.92038114075902,0.008364324494349071,0.9845330680802583,0.8795267890446703,0.8659232080769274,2.8752118044752026,14.212187912522056,-1.1102230246251565e-16,5.7785111116092995,137.69708851941002,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop12p5/primary_0p26/geometry_state.json,14.346768121696652,1.8467681216966518
15.0,0.259875,5.599841227108005,0.1569761150175,0.15715016971532,0.0011087973339166859,0.1536003994057,0.033466675525673,-0.036131982067867,0.01094299267997001,0.010763847335710008,4.9306917140039115,2.9726893374735357,0.009860572458975913,0.9836292183044307,0.9160825262044174,0.9010855391527993,2.92402408928101,16.374070644212736,-2.220446049250313e-16,5.8028257101661,137.78303722089998,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T061631Z_440e44e5_iop5_to50_step5/states/iop15/primary_0p26/geometry_state.json,16.30114216038696,1.3011421603869593
17.5,0.259875,6.114935700663478,0.15798269267301,0.15812683007448,0.0009123619747914146,0.15455813397018,0.023987719475072,-0.067323847380608,0.011949570335479998,0.011721581900190015,4.934380269442286,2.97046718822204,0.011512607123712755,0.9809207838533698,0.9821717940243311,0.9634327260730173,2.9137930026814787,17.817656856440408,0.0,5.8167703445022,137.86991109299,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop17p5/primary_0p26/geometry_state.json,17.841859933670197,0.3418599336701966
20.0,0.259875,6.542306492824867,0.15881784411045,0.15855891828892,0.0016303320510378777,0.15530931304833,0.014355746468228,-0.098685381516359,0.012784721772920005,0.01247276097834002,4.9382329831556735,2.9681496872636473,0.013167538342585489,0.9755989375348969,1.0557035740083538,1.0299432851543433,2.895723681338951,18.944711841850545,2.220446049250313e-16,5.838310656480799,137.95744286726,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T043130Z_23d4f22f_full_matrix/states/iop20/primary_0p26/geometry_state.json,19.125618394400288,-0.8743816055997122
22.5,0.259875,6.912171364537767,0.15954061970704,0.15886193024605,0.004254022970678344,0.15595479456585,0.0046400065083593,-0.13016603355317,0.013507497369510013,0.013118242495860022,4.8280739615279575,3.0358720271033,0.014483030747915732,0.9711823098682483,1.1040374312707226,1.0722216226825079,2.948385207746584,20.379743804612673,2.220446049250313e-16,5.8541431153803005,138.04543023265998,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop22p5/primary_0p26/geometry_state.json,20.240639449015017,-2.259360550984983
25.0,0.259875,7.266876996289621,0.16023377170446,0.15969200678967,0.0033810906965932343,0.15659412234072,-0.005103397135816,-0.16170131588867,0.014200649366929996,0.013757570270730018,4.705746031154027,3.1147908509193356,0.015684530151535585,0.9687986735851809,1.1400654216468207,1.1044938682917698,3.0176052448659094,21.928566137798988,-2.220446049250313e-16,5.8327430378924,138.13350786673,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T043130Z_23d4f22f_full_matrix/states/iop25/primary_0p26/geometry_state.json,21.313466583565116,-3.6865334164348837
27.5,0.259875,7.564234291037806,0.16081485580449,0.16177843374931,0.005991846586558267,0.15708944515766,-0.014958696057867,-0.19333711580562,0.014781733466960018,0.014252893087669999,4.70067964860411,3.118147965888535,0.017234407958364888,0.9642233855405337,1.2091866438873495,1.1659260395194557,3.0065911882853715,22.742560165560313,0.0,5.842763128871599,138.22227114435,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop27p5/primary_0p26/geometry_state.json,22.21549788694096,-5.284502113059041
30.0,0.259875,7.878858149633224,0.16142968155436,0.16089592529522,0.00330643196468331,0.15760072324078,-0.024841346727065,-0.22496446222406,0.015396559216830003,0.014764171170790014,4.654786931120484,3.148890572540182,0.018617616544570385,0.9589266642543923,1.2609997763642955,1.2092063091745486,3.0195551328280605,23.790646566549196,-7.847056338050606e-13,5.8480098981129,138.31092501881,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T043130Z_23d4f22f_full_matrix/states/iop30/primary_0p26/geometry_state.json,23.17255768158198,-6.827442318418019
32.5,0.259875,8.157971754813781,0.16197511454334,0.16142592628626,0.003390571808689952,0.15804239774877,-0.034787269699349,-0.25666138676128,0.015941992205809996,0.01520584567878,4.629009525369452,3.1664256909081856,0.02005739168439071,0.9538234294982462,1.3190579536382592,1.2581483810461829,3.0202110117533993,24.638796127461784,0.0,5.8371708739902,138.40009894617,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop32p5/primary_0p26/geometry_state.json,24.023888698310163,-8.476111301689837
35.0,0.259875,8.428966226071458,0.16250468143551,0.16211281555411,0.002411412877083863,0.15846523492058,-0.044772803766363,-0.28838409827263,0.01647155909798001,0.01562868285059002,4.592259068391804,3.19176563567036,0.021428779939036816,0.9488283870169063,1.3711187400688618,1.300956382548191,3.0284378398290985,25.526600269676273,0.0,5.846769417061701,138.48951361561,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T043130Z_23d4f22f_full_matrix/states/iop35/primary_0p26/geometry_state.json,24.85252389596158,-10.147476104038422
37.5,0.259875,8.687134114308124,0.1630091831163,0.16317982395188,0.0010468173161646292,0.15885337867587,-0.054808975452897,-0.32013767888467,0.016976060778770008,0.016016826605879997,4.548681849557162,3.2223433445923497,0.02274153890163056,0.9434948905172622,1.4198529747011077,1.3396240269162307,3.0402644811151873,26.41118529041503,-7.887024366937112e-13,5.8307045842643,138.57924332727,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop37p5/primary_0p26/geometry_state.json,25.64384110307194,-11.856158896928061
40.0,0.259875,8.936937455920008,0.16349733912426,0.16401947975574,0.0031935726555350867,0.15921757111633,-0.064884804095171,-0.35191108531476,0.01746421678673002,0.016381019046340012,4.552776604011648,3.2194451780641415,0.024279478389551593,0.9379761627092797,1.482171427849986,1.3902414683720639,3.0197628341734974,26.98743158072029,-4.440892098500626e-16,5.8113964354067,138.66927645889,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T040825Z_bdca48fe_iop40_preflight/analysis/primary_state_0p26/geometry_state.json,26.411293409784783,-13.588706590215217
42.5,0.259875,9.18187963698267,0.1639759956407,0.16458442146291,0.0037104566423439033,0.15956308062976,-0.074998722960347,-0.38370258438483,0.017942873303170015,0.01672652855977,4.5569122064957,3.2165233869757177,0.02582037894241449,0.9322101470122335,1.543678286271347,1.439032562184605,2.998475739440921,27.531643333959146,2.220446049250313e-16,5.7829533655074,138.75957949727,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop42p5/primary_0p26/geometry_state.json,27.16551065759392,-15.33448934240608
45.0,0.259875,9.421805330298094,0.16444484913122,0.1650753554558,0.0038341506463170495,0.1598925656791,-0.085150897256106,-0.41551407759446,0.01841172679369002,0.01705601360911002,4.526129787453596,3.2383991120225506,0.0271545454369975,0.9263668639138931,1.5920804274272866,1.474850552654506,2.9999456295058664,28.264903722682842,2.220446049250313e-16,5.7847921732801,138.85014645609,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T061631Z_440e44e5_iop5_to50_step5/states/iop45/primary_0p26/geometry_state.json,27.905918273920566,-17.094081726079434
47.5,0.259875,9.65902083101028,0.1649084064684,0.1654747397431,0.003434229259916696,0.16021674771395,-0.095331845576528,-0.44733975634675,0.01887528413087,0.01738019564396001,4.478420230200055,3.272898462218178,0.028360995614063786,0.920791206291575,1.631799560548666,1.502546685783668,3.013656123095717,29.108967270483205,-2.220446049250313e-16,5.771793100573,138.94096968103,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T100745Z_290d0544_iop0_to50_step2p5/states/iop47p5/primary_0p26/geometry_state.json,28.639560208580978,-18.860439791419022
50.0,0.259875,9.906446283258044,0.16539191569714,0.16494119528807,0.0027251659016717562,0.1605648436446,-0.10554920265139,-0.47915475488229,0.01935879335961002,0.017728291574610006,4.465074208286621,3.282681093493632,0.02976471343122644,0.9157746170067667,1.6789386222558909,1.537529373774257,3.006196021149485,29.780719400461432,0.0,5.760373149144,139.03185033204,/home/xuanyu/PROJECT/ziyu/blueknow-data/high_iop_mechanical_transfer_t1p25_c0p60/20260730T061631Z_440e44e5_iop5_to50_step5/states/iop50/primary_0p26/geometry_state.json,29.406477229630077,-20.593522770369923
