input_iop_mmhg,delta_probe_pressure_mmhg,inner_ac_5deg_mm2,area_ratio_ap_over_ac5,eta_effective_ac5_proxy,source_kind,forward_rational_iop_mmhg,inverse_regression_iop_mmhg,forward_error_mmhg,inverse_error_mmhg
0.0,0.0,5.317452780205752,2.756472937409214,,reused_formal_matrix,0.0,0.0,0.0,0.0
2.5,0.21312253920016047,5.31947640622398,2.755424324739712,4.257181231583697,new_supplemental_solver,0.3751055618422091,0.39493930216753337,-2.1248944381577908,-2.1050606978324664
5.0,1.420075281027457,5.234757720814007,2.800017778532319,1.2574706223634762,reused_formal_matrix,2.721367859125308,2.8602014088564647,-2.278632140874692,-2.1397985911435353
7.5,2.828621976178267,5.227063103011447,2.8041396087497055,0.945554836336328,new_supplemental_solver,6.0474130379438105,6.340059494363707,-1.4525869620561895,-1.1599405056362926
10.0,4.054410649992031,5.17125797835375,2.834400207056518,0.8701840025243417,reused_formal_matrix,9.637872906907099,10.077109149213758,-0.3621270930929015,0.07710914921375789
12.5,4.943005551939201,5.019007443932135,2.92038114075902,0.8659232080769275,new_supplemental_solver,12.787297748585662,13.338616358719968,0.2872977485856616,0.8386163587199675
15.0,5.599841227108005,4.9306917140039115,2.9726893374735357,0.9010855391527995,reused_formal_matrix,15.497612942951005,16.133127787228855,0.49761294295100456,1.1331277872288545
17.5,6.114935700663478,4.934380269442286,2.97046718822204,0.9634327260730173,new_supplemental_solver,17.90307182149005,18.603872166382835,0.4030718214900517,1.1038721663828355
20.0,6.542306492824867,4.9382329831556735,2.9681496872636473,1.029943285154343,reused_formal_matrix,20.120988431260873,20.87416060703548,0.12098843126087289,0.8741606070354813
22.5,6.912171364537767,4.8280739615279575,3.0358720271033,1.0722216226825076,new_supplemental_solver,22.2294303347851,23.02546436001096,-0.2705696652149001,0.525464360010961
25.0,7.266876996289621,4.705746031154027,3.1147908509193356,1.10449386829177,reused_formal_matrix,24.440657089128894,25.27442624292781,-0.5593429108711057,0.2744262429278095
27.5,7.564234291037806,4.70067964860411,3.118147965888535,1.1659260395194557,new_supplemental_solver,26.45670445079454,27.318469587404888,-1.0432955492054603,-0.18153041259511227
30.0,7.878858149633224,4.654786931120484,3.148890572540182,1.2092063091753333,reused_formal_matrix,28.772864328445035,29.6592843441594,-1.227135671554965,-0.3407156558406008
32.5,8.157971754813781,4.629009525369452,3.1664256909081856,1.2581483810461829,new_supplemental_solver,31.00564290950825,31.908266553985225,-1.49435709049175,-0.591733446014775
35.0,8.428966226071458,4.592259068391804,3.19176563567036,1.300956382548191,reused_formal_matrix,33.354667523880416,34.26636412000001,-1.6453324761195844,-0.7336358799999871
37.5,8.687134114308124,4.548681849557162,3.2223433445923497,1.3396240269170194,new_supplemental_solver,35.77978041522797,36.69230980470886,-1.7202195847720319,-0.8076901952911371
40.0,8.936937455920008,4.552776604011648,3.2194451780641415,1.3902414683720643,reused_formal_matrix,38.32257729256678,39.22671845592458,-1.677422707433223,-0.7732815440754166
42.5,9.18187963698267,4.5569122064957,3.2165233869757177,1.4390325621846047,new_supplemental_solver,41.02752974480855,41.91239916821423,-1.4724702551914532,-0.587600831785771
45.0,9.421805330298094,4.526129787453596,3.2383991120225506,1.4748505526545057,reused_formal_matrix,43.90695646226777,44.759657875521825,-1.0930435377322283,-0.24034212447817538
47.5,9.65902083101028,4.478420230200055,3.272898462218178,1.5025466857836682,new_supplemental_solver,47.007689412059875,47.81239723228176,-0.49231058794012483,0.31239723228176075
50.0,9.906446283258044,4.465074208286621,3.282681093493632,1.537529373774257,reused_formal_matrix,50.54897481094424,51.28204894914341,0.5489748109442374,1.2820489491434088
