input_iop_mmhg,delta_probe_pressure_mmhg,probe_force_n,actual_indent_mm,is_unseen_extrapolation_point,source_kind,inverse_regression_0_to_50_iop_prediction_mmhg,inverse_regression_0_to_50_error_mmhg,inverse_regression_0_to_50_implied_probe_mmhg,inverse_regression_0_to_50_probe_residual_mmhg,inverse_regression_0_to_50_denominator,composite_proxy_0_to_50_iop_prediction_mmhg,composite_proxy_0_to_50_error_mmhg,composite_proxy_0_to_50_implied_probe_mmhg,composite_proxy_0_to_50_probe_residual_mmhg,composite_proxy_0_to_50_denominator,load_share_reparameterization_10_to_50_iop_prediction_mmhg,load_share_reparameterization_10_to_50_error_mmhg,load_share_reparameterization_10_to_50_implied_probe_mmhg,load_share_reparameterization_10_to_50_probe_residual_mmhg,load_share_reparameterization_10_to_50_denominator
0.0,0.0,0.14603312233753,0.259875,False,reused_formal_matrix,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.5,0.21312253920016047,0.14644959814315,0.259875,False,reused_formal_matrix,0.39493930216753337,-2.1050606978324664,1.2559064093525498,-1.0427838701523893,0.9860805981157401,0.3751055618422091,-2.1248944381577908,1.3146774675205057,-1.1015549283203452,0.9858017554736157,0.37319051515962726,-2.126809484840373,1.3182406200089762,-1.1051180808088157,0.9854291724466988
5.0,1.420075281027457,0.14880817841056,0.259875,False,reused_formal_matrix,2.8602014088564647,-2.1397985911435353,2.3213990813324648,-0.9013238003050077,0.907252425685675,2.721367859125308,-2.278632140874692,2.4176110302764307,-0.9975357492489736,0.9053944450851095,2.713892514405637,-2.286107485594363,2.418510820047032,-0.9984355390195749,0.9029118547939055
7.5,2.828621976178267,0.15156070576791,0.259875,False,reused_formal_matrix,6.340059494363707,-1.1599405056362926,3.236730811877967,-0.4081088356997,0.8152578032673649,6.0474130379438105,-1.4525869620561895,3.3561437942978554,-0.5275218181195882,0.8115569256953885,6.051136043798675,-1.4488639562013246,3.350744292789648,-0.5221223166113806,0.8066118995060265
10.0,4.054410649992031,0.15395609448354,0.259875,False,reused_formal_matrix,10.077109149213758,0.07710914921375789,4.03155551903479,0.022855130957240455,0.7351994235201,9.637872906907099,-0.3621270930929015,4.164484072933748,-0.11007342294171707,0.7298947636650528,9.67903664648789,-0.32096335351210925,4.150704714319641,-0.09629406432761023,0.7228068010403237
12.5,4.943005551939201,0.15569255219959,0.259875,False,reused_formal_matrix,13.338616358719968,0.8386163587199675,4.728201250712912,0.21480430122628924,0.6771637525914107,12.787297748585662,0.2872977485856616,4.867965056741775,0.07504049519742662,0.6706964838862293,12.883195959879266,0.38319595987926647,4.844679172749682,0.09832637918951903,0.6620550704650104
15.0,5.599841227108005,0.1569761150175,0.259875,False,reused_formal_matrix,16.133127787228855,1.1331277872288545,5.3438008705689874,0.25604035653901747,0.6342646778670473,15.497612942951005,0.49761294295100456,5.485747739930209,0.11409348717779633,0.6269380265935416,15.65715275015483,0.6571527501548307,5.452422013980138,0.14741921312786666,0.6171483262526951
17.5,6.114935700663478,0.15798269267301,0.259875,False,reused_formal_matrix,18.603872166382835,1.1038721663828355,5.891719985677116,0.22321571498636228,0.6006229663301639,17.90307182149005,0.4030718214900517,6.0325927459685165,0.08234295469496189,0.5926223820954196,18.13201815823779,0.6320181582377913,5.989065492778433,0.1258702078850451,0.5819321882693429
20.0,6.542306492824867,0.15881784411045,0.259875,False,reused_formal_matrix,20.87416060703548,0.8741606070354813,6.382538445501747,0.15976804732312022,0.5727106402476468,20.120988431260873,0.12098843126087289,6.520054936663686,0.022251556161180908,0.5641508978811522,20.424780083711877,0.4247800837118767,6.466396904570529,0.07590958825433791,0.5527135700168037
22.5,6.912171364537767,0.15954061970704,0.259875,False,reused_formal_matrix,23.02546436001096,0.525464360010961,6.824740181519592,0.08743118301817532,0.5485541253545556,22.2294303347851,-0.2705696652149001,6.95730888973767,-0.04513752519990266,0.5395104637440221,22.614091863915004,0.1140918639150037,6.89373443138589,0.018436933151877,0.527426534286195
25.0,7.266876996289621,0.16023377170446,0.259875,False,reused_formal_matrix,25.27442624292781,0.2744262429278095,7.225207729450037,0.04166926683958394,0.5253876866592688,24.440657089128894,-0.5593429108711057,7.351731798379743,-0.08485480209012142,0.5158799396643117,24.920376461762988,-0.07962353823701207,7.278541483901326,-0.011664487611704466,0.5031759101530666
27.5,7.564234291037806,0.16081485580449,0.259875,False,reused_formal_matrix,27.318469587404888,-0.18153041259511227,7.589583044685816,-0.025348753648009925,0.5059667671058986,26.45670445079454,-1.0432955492054603,7.7093230754545905,-0.1450887844167843,0.49606996743714293,27.03229257347551,-0.46770742652449115,7.626866312560685,-0.06263202152287839,0.48284609482826546
30.0,7.878858149633224,0.16142968155435,0.259875,False,reused_formal_matrix,29.6592843441594,-0.3407156558406008,7.922534968553055,-0.043676818919831106,0.48541813838459213,28.772864328445035,-1.227135671554965,8.035011652056761,-0.1561535024235372,0.4751096950279593,29.469499527469864,-0.5305004725301359,7.943662243448416,-0.0648040938151917,0.4613357937359792
32.5,8.157971754813781,0.16197511454334,0.259875,False,reused_formal_matrix,31.908266553985225,-0.591733446014775,8.227960356890277,-0.06998860207649571,0.46718874577105896,31.00564290950825,-1.49435709049175,8.33288454084439,-0.17491278603060856,0.4565151191944181,31.83008338984941,-0.6699166101505902,8.233024720138399,-0.07505296532461792,0.44225326861156466
35.0,8.428966226071458,0.16250468143551,0.259875,False,reused_formal_matrix,34.26636412000001,-0.7336358799999871,8.509137304412851,-0.08017107834139381,0.449489627845735,33.354667523880416,-1.6453324761195844,8.606359235827437,-0.1773930097559795,0.43846144086149874,34.32543107321846,-0.6745689267815393,8.498369320178274,-0.069403094106816,0.4237258349416553
37.5,8.687134114308124,0.16300918311629,0.259875,False,reused_formal_matrix,36.69230980470886,-0.8076901952911371,8.768843267929492,-0.0817091536213681,0.43262823625635516,35.77978041522797,-1.7202195847720319,8.85831541602431,-0.17118130171618517,0.4212622707511904,36.91446236494487,-0.5855376350551325,8.742567210357784,-0.055433096049659625,0.4060753330594332
40.0,8.936937455920008,0.16349733912426,0.259875,False,reused_formal_matrix,39.22671845592458,-0.7732815440754166,9.009447124670642,-0.0725096687506337,0.41631314768347905,38.32257729256678,-1.677422707433223,9.091196736431533,-0.15425928051152482,0.40462034755984566,39.64326638762769,-0.3567336123723095,8.968049457574882,-0.031112001654873822,0.3889967010830815
42.5,9.18187963698267,0.1639759956407,0.259875,False,reused_formal_matrix,41.91239916821423,-0.587600831785771,9.232981637723352,-0.051102000740682385,0.4003155499192358,41.02752974480855,-1.4724702551914532,9.307090343323159,-0.12521070634048925,0.3883022753624825,42.562098383168326,0.062098383168326166,9.176888241287893,0.004991395694776912,0.37225041843185247
45.0,9.421805330298094,0.16444484913122,0.259875,False,reused_formal_matrix,44.759657875521825,-0.24034212447817538,9.441201026892218,-0.01939569659412399,0.38464558765175083,43.90695646226777,-1.0930435377322283,9.507789600958164,-0.0859842706600702,0.3723184020723125,45.68749226664433,0.6874922666443268,9.370860722509859,0.050944607788235174,0.3558471045635715
47.5,9.65902083101028,0.1649084064684,0.259875,False,reused_formal_matrix,47.81239723228176,0.31239723228176075,9.635627098361008,0.02339373264927147,0.36915263275368737,47.007689412059875,-0.49231058794012483,9.69484402458565,-0.03582319357537145,0.35651508207997196,49.07438457011371,1.5743845701137076,9.551499741942907,0.10752108906737234,0.33962908197985475
50.0,9.906446283258044,0.16539191569714,0.259875,False,reused_formal_matrix,51.28204894914341,1.2820489491434088,9.817586500803271,0.08885978245477233,0.35299284825057187,50.54897481094424,0.5489748109442374,9.869599363959829,0.03684691929821504,0.3400315741119778,52.96976287692282,2.9697628769228217,9.720134410692003,0.18631187256604065,0.32271302227762966
52.5,10.133792905170191,0.16583618765388,0.259875,True,new_supplemental_solver,54.76248553867103,2.2624855386710294,9.988241037493486,0.14555186767670492,0.3381444469069109,54.11966644527125,1.6196664452712497,10.03323003187973,0.10056287329046043,0.3248857197960976,56.927256702764865,4.427256702764865,9.877922868862685,0.25587003630750615,0.3071697182463451
55.0,10.357769771489542,0.16627387456485,0.259875,True,new_supplemental_solver,58.503749511660686,3.5037495116606863,10.148612498896968,0.20915727259257366,0.32351613013301883,57.97866388973915,2.9786638897391526,10.186765530707474,0.171004240782068,0.3099643589292925,61.23829201955384,6.238292019553839,10.02587892021547,0.33189085127407125,0.29185679870570935
57.5,10.579466298404345,0.16670710532494,0.259875,True,new_supplemental_solver,62.55571944746803,5.055719447468029,10.299603137561904,0.27986316084244045,0.3090367462721988,62.18255992939632,4.682559929396319,10.33111213411061,0.24835416429373502,0.29519491449793533,65.97533023465961,8.475330234659609,10.164893838143149,0.414572460261196,0.2766997821134496
60.0,10.799184206334418,0.1671364695445,0.259875,True,new_supplemental_solver,66.96439710661025,6.9643971066102495,10.442012652114395,0.3571715542200238,0.29468658944164794,66.78564224543271,6.785642245432712,10.46707078904105,0.3321134172933675,0.2805572858579777,71.21152738118798,11.211527381187977,10.295754334323183,0.5034298720112353,0.26167804035475906
