state,input_iop_mmhg,actual_indent_mm,probe_force_n,zero_reference_force_n,delta_force_n,delta_probe_pressure_mmhg,ksensor_delta,frozen_model_iop_calc_diagnostic_mmhg,frozen_model_iop_error_diagnostic_mmhg,outer_ae_lower_mm2,inner_ac_5deg_mm2,kgeo_5deg,source_kind,source_git_commit
primary_0p26,0.0,0.259875,0.14603312233753,0.14603312233753,0.0,0.0,,0.0,0.0,13.052876225311696,5.317452780205752,2.4547234860083953,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,5.0,0.259875,0.14880817841056,0.14603312233753,0.0027750560730299967,1.420075281027457,3.5209400985998327,2.8186715947836642,-2.1813284052163358,13.093183663913575,5.234757720814007,2.50120146188496,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
primary_0p26,10.0,0.259875,0.15395609448354,0.14603312233753,0.00792297214601001,4.054410649992031,2.4664497169322637,10.000039605559135,3.960555913451458e-05,12.908660282313395,5.17125797835375,2.4962321230825193,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
primary_0p26,15.0,0.259875,0.1569761150175,0.14603312233753,0.01094299267997001,5.599841227108005,2.678647374391119,16.103973991644416,1.1039739916444162,12.951321560538227,4.9306917140039115,2.6266743718238383,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
primary_0p26,20.0,0.259875,0.15881784411045,0.14603312233753,0.012784721772920005,6.542306492824867,3.0570258397301573,20.932895446473804,0.932895446473804,12.992362429491527,4.9382329831556735,2.630973968585223,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,25.0,0.259875,0.16023377170446,0.14603312233753,0.014200649366929996,7.266876996289621,3.440267395851711,25.454908638993025,0.45490863899302525,12.981325536992436,4.705746031154027,2.758611589119042,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,30.0,0.259875,0.16142968155435,0.14603312233753,0.01539655921682001,7.878858149633224,3.807658347218316,30.000075977817616,7.597781761603528e-05,13.02073684451477,4.654786931120484,2.797278809361197,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,35.0,0.259875,0.16250468143551,0.14603312233753,0.01647155909798001,8.428966226071458,4.152347875323339,34.818073098253194,-0.18192690174680592,13.05974260410465,4.592259068391804,2.8438601589343993,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
primary_0p26,40.0,0.259875,0.16349733912426,0.14603312233753,0.01746421678673002,8.936937455920008,4.475806191695254,40.05486215619427,0.05486215619426815,13.098559607262061,4.552776604011648,2.8770486115484672,reused_formal_matrix,bdca48fe1704b1cb1bf9f863a7275b0866b34f97
primary_0p26,45.0,0.259875,0.16444484913122,0.14603312233753,0.01841172679369002,9.421805330298094,4.77615472008232,45.95742338995627,0.9574233899562685,13.137182267282817,4.526129787453596,2.902520008087043,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
primary_0p26,50.0,0.259875,0.16539191569714,0.14603312233753,0.01935879335961002,9.906446283258044,5.047218605979857,52.99994536701135,2.9999453670113496,13.041135870823743,4.465074208286621,2.920698573524494,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,0.0,0.27999999999999997,0.16191409653827,0.16191409653827,0.0,0.0,,0.0,0.0,13.117809389934731,5.956870681344404,2.202130966350637,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,5.0,0.27999999999999997,0.16499925271658,0.16191409653827,0.003085156178310011,1.5787623426807158,3.1670377895574022,2.905620632782059,-2.094379367217941,13.055715053950685,5.860570472309907,2.2277208533941333,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,10.0,0.27999999999999997,0.17046943055013,0.16191409653827,0.00855533401186001,4.378008238914797,2.2841437142838177,10.00000086156098,8.615609807804958e-07,12.887659906890894,5.591276480477143,2.304958438719721,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,15.0,0.27999999999999997,0.17373215461815,0.16191409653827,0.011818058079880012,6.047637131404015,2.480307543934537,16.133631482274918,1.133631482274918,12.915053727452685,5.404523948172658,2.389674622835086,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,20.0,0.27999999999999997,0.17573431824117,0.16191409653827,0.01382022170290001,7.072201318504799,2.827973794760185,21.03476339782015,1.03476339782015,12.956443846627105,5.344842095422948,2.4241022681890545,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,25.0,0.27999999999999997,0.1772106201693,0.16191409653827,0.015296523631030012,7.827667089393361,3.1937995975678986,25.436825539248943,0.4368255392489431,12.997150537482145,5.2956892835676275,2.4542887321225457,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,30.0,0.27999999999999997,0.17849819166578,0.16191409653827,0.016584095127509996,8.486554119632837,3.535003674883525,29.999902301389806,-9.769861019393034e-05,12.986023718220407,5.219701684224896,2.4878861865740474,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,35.0,0.27999999999999997,0.17965713471199,0.16191409653827,0.01774303817372,9.079618305988,3.8547875935398666,34.85133196475416,-0.1486680352458407,13.02525639354491,5.061779071089094,2.5732565982462745,reused_formal_matrix,23d4f22fc9366c99edeee92acda68d880f4d21d2
sensitivity_0p28,40.0,0.27999999999999997,0.18075910336111,0.16191409653827,0.018845006822840016,9.64352706959504,4.147859980205325,40.30533042590746,0.3053304259074565,13.064304407254397,4.978204699133277,2.624300364653333,reused_formal_matrix,bdca48fe1704b1cb1bf9f863a7275b0866b34f97
sensitivity_0p28,45.0,0.27999999999999997,0.18180548433475,0.16191409653827,0.019891387796480003,10.17899003542302,4.420870817576145,46.46414416951135,1.46414416951135,13.103153628180502,4.872177502586241,2.689383467910418,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
sensitivity_0p28,50.0,0.27999999999999997,0.18278996116397,0.16191409653827,0.020875864625700014,10.68277488629746,4.680431866455765,53.39345605145666,3.39345605145666,13.14187538943572,4.744639075602204,2.7698366893729878,new_supplemental_solver,440e44e523e87d8248b8eea0a614dc77138c0471
