strategy,status,background_mesh_mm,nominal_local_target_mm,refinement_halfwidth_mm,refinement_level,selected_parent_elements,solid_elements_before,solid_elements_after,solid_nodes_before,solid_nodes_after,element_growth_ratio,node_growth_ratio,mapdl_error_count,mapdl_warning_count,shape_warning_elements,shape_error_elements,run_completed,wall_seconds,maximum_rss_kib,db_size_bytes,db_sha256,source_dir
G015,complete,0.15,0.15,1.8,0,0,875995,875995,1250884,1250884,1.0,1.0,0,2,51,0,True,14.62,2463472,600637440,e7031bc57dcdf0d02dd4bc101b59f6b7b90744ed31611df777e5634ff067ccff,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260813T025229Z_011c77e7_L010_h1p25_mesh_preflight/G015
L010,complete,0.2,0.1,1.8,1,45439,373285,655574,545045,940688,1.7562291546673454,1.7258905228008696,0,2,9,0,True,16.5,2310428,450822144,1ea765c43c8fb07385de6affea389761ff324e23d3ec8fc6c20ba7ae31555a58,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_mesh_independence/20260813T025229Z_011c77e7_L010_h1p25_mesh_preflight/L010
