case,profile,status,failure_reason,attempt_dir,source_case,eyelid_thickness_mm,cornea_thickness_mm,mesh_size_mm,iop_mmhg,eyelid_material_scale,cornea_material_scale,indent_mm,effective_indent_mm,contact_zero_total_push_mm,zero_shift_from_fixed_gap_mm,target_total_push_mm,old_fixed_gap_indent_mm,target_result_time,probe_fx_n,probe_fy_n,contact_area_m2,contact_x_center_m,pmax_pa,max_penetration_m,n_outer,cornea_peak_pa,eyelid_peak_pa,probe_uy_m,probe_uy_max_m,result_load_step,result_time
eyelid_0p80mm_effective_indent_0p28mm,contact_rezeroed_state,complete,,eyelid_0p80mm_effective_indent_0p28mm/attempt_1,eyelid_0p80mm_indent_0p28mm,0.8,0.6,0.3,20.0,1.0,0.75,0.28,0.28,0.0,0.05,0.28,0.23000000000000004,1.8484848484848484,1.6518799027937e-08,-0.12896079300686,5.0600456754659e-06,2.6538468416556e-06,35427.724963256,8.8413967156469e-06,322.0,48599.661960568,27309.197008534,-0.00027999999999998,-0.00027999999999998,0.0,1.8484848484848
eyelid_1p00mm_effective_indent_0p28mm,contact_rezeroed_state,complete,,eyelid_1p00mm_effective_indent_0p28mm/attempt_1,eyelid_1p00mm_indent_0p28mm,1.0,0.6,0.3,20.0,1.0,0.75,0.28,0.28,0.0,0.05,0.28,0.23000000000000004,1.8484848484848484,7.026986076621e-07,-0.15117851924676,5.4313697108825e-06,2.4108631944822e-06,39615.551417495,1.1145314651557e-05,330.0,45429.028721676,26660.389882626,-0.00027999999999998,-0.00027999999999998,0.0,1.8484848484848
eyelid_1p20mm_effective_indent_0p28mm,contact_rezeroed_state,complete,,eyelid_1p20mm_effective_indent_0p28mm/attempt_1,eyelid_1p20mm_indent_0p28mm,1.2,0.6,0.3,20.0,1.0,0.75,0.28,0.28,0.0012093119716336373,0.048790688028366364,0.2812093119716337,0.2312093119716337,1.8521494302170716,1.0548139594625e-06,-0.1747533556993,5.6786334624006e-06,-1.4806123946665e-06,43912.195106896,1.1410504314532e-05,354.0,42732.386043995,25578.813806611,-0.00028120931197164,-0.00028120931197164,0.0,1.8521494302171
eyelid_1p25mm_effective_indent_0p28mm,contact_rezeroed_state,complete,,eyelid_1p25mm_effective_indent_0p28mm/attempt_1,eyelid_1p25mm_indent_0p28mm,1.25,0.6,0.3,20.0,1.0,0.75,0.28,0.28,0.0026301324117303827,0.04736986758826962,0.2826301324117304,0.23263013241173042,1.8564549467022133,4.9826164638566e-07,-0.18146027164011,5.7471215927545e-06,-1.503669573202e-06,44730.647738463,1.1773410303459e-05,354.0,42157.526164258,25580.632689578,-0.00028263013241173,-0.00028263013241173,0.0,1.8564549467022
eyelid_1p40mm_effective_indent_0p28mm,contact_rezeroed_state,complete,,eyelid_1p40mm_effective_indent_0p28mm/attempt_1,eyelid_1p40mm_indent_0p28mm,1.4,0.6,0.3,20.0,1.0,0.75,0.28,0.28,0.007890559295658376,0.042109440704341625,0.28789055929565843,0.23789055929565842,1.8723956342292678,5.4282814066918e-06,-0.20281738415028,6.0079842837038e-06,-1.9668809676295e-06,46752.849235116,1.269726532143e-05,359.0,40644.580844302,25868.956343661,-0.00028789055929567,-0.00028789055929567,0.0,1.8723956342293
eyelid_1p50mm_effective_indent_0p28mm,contact_rezeroed_state,complete,,eyelid_1p50mm_effective_indent_0p28mm/attempt_1,eyelid_1p50mm_indent_0p28mm,1.5,0.6,0.3,20.0,1.0,0.75,0.28,0.28,0.010415020552511766,0.03958497944748823,0.29041502055251184,0.24041502055251182,1.8800455168257932,-4.4462638017125e-06,-0.21678776669687,6.0534971264567e-06,-1.1379914599197e-06,48530.88522092,1.2782835741124e-05,375.0,39631.758393674,25992.558865823,-0.00029041502055251,-0.00029041502055251,0.0,1.8800455168258
eyelid_1p60mm_effective_indent_0p28mm,contact_rezeroed_state,complete,,eyelid_1p60mm_effective_indent_0p28mm/attempt_1,eyelid_1p60mm_indent_0p28mm,1.6,0.6,0.3,20.0,1.0,0.75,0.28,0.28,0.012417836992753119,0.03758216300724688,0.29241783699275314,0.24241783699275316,1.8861146575537973,-3.7062420335346e-06,-0.2343234409491,6.3553254343572e-06,-8.6967749406263e-06,50219.508867357,1.3268501415549e-05,384.0,38713.455300003,26433.667254805,-0.00029241783699275,-0.00029241783699275,0.0,1.8861146575538
