case,eyelid_thickness_mm,height_tolerance_um,window_diameter_mm,analysis_radius_mm,projected_area_mm2,selected_faces,curvature_tolerance_per_mm,curvature_noise_per_mm,curvature_baseline_per_mm
eyelid_0p80mm_indent_0p28mm,0.8,5.0,0.75,3.0,3.1728086773941033,176,0.07111111111111111,0.0018918910533342903,-0.021838016589000683
eyelid_0p80mm_indent_0p28mm,0.8,10.0,0.75,3.0,6.230242199782013,357,0.14222222222222222,0.0018918910533342903,-0.021838016589000683
eyelid_0p80mm_indent_0p28mm,0.8,15.0,0.75,3.0,18.648627619942484,894,0.21333333333333332,0.0018918910533342903,-0.021838016589000683
eyelid_1p25mm_indent_0p28mm,1.25,5.0,0.75,3.0,2.3202357371485403,111,0.07111111111111111,0.0009580232860670076,-0.01934830815344621
eyelid_1p25mm_indent_0p28mm,1.25,10.0,0.75,3.0,6.482450290075245,370,0.14222222222222222,0.0009580232860670076,-0.01934830815344621
eyelid_1p25mm_indent_0p28mm,1.25,15.0,0.75,3.0,27.65727526352425,1291,0.21333333333333332,0.0009580232860670076,-0.01934830815344621
eyelid_1p60mm_indent_0p28mm,1.6,5.0,0.75,3.0,1.3864738914346348,52,0.07111111111111111,0.0009044407833364917,-0.016709884021434696
eyelid_1p60mm_indent_0p28mm,1.6,10.0,0.75,3.0,6.687311679741695,376,0.14222222222222222,0.0009044407833364917,-0.016709884021434696
eyelid_1p60mm_indent_0p28mm,1.6,15.0,0.75,3.0,27.65569463315162,1279,0.21333333333333332,0.0009044407833364917,-0.016709884021434696
