relative_path	size_bytes	mtime_utc	sha256	cleanup_class
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.DSPtri	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.DSPtriU	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.esav	718995456	2026-08-13T03:28:03Z	93f6a643e2c2ef892e81253422f13a68ff5ade76508f3b3878f4b87388616096	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.full	0	2026-08-13T02:54:59Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.osav	291569664	2026-08-13T03:27:55Z	a28fe0fa372412525ea61fb6f8e7c0f1670b7e67d54ab6c11a2f176934f1807d	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.page	0	2026-08-13T02:54:24Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.r001	291569664	2026-08-13T03:27:51Z	4a42db694a97c65e3258060c19b16f64bf537b89ec125de10ca3753edd7b893b	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm2.rst	1204748288	2026-08-13T03:27:51Z	f701af494468ffe5e4ac080807161e339e1c446d376987632b82b708a56a048b	incomplete_rst
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPmatK	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPstack	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPsymb	99352576	2026-08-13T02:55:36Z	a27c924442f3fb6f2b32e4f49428859a651d0f05e5fe98994ae4dbfa88bc7d49	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPtri	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.DSPtriU	0	2026-08-13T02:55:32Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.esav	604766208	2026-08-13T03:28:03Z	a95dc6a26ebe41ddd0c6f9bdac976edd8469401776da23d20378ab2bfba17ed1	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.full	0	2026-08-13T02:54:59Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.osav	183304192	2026-08-13T03:27:55Z	b1a4c6cdc1450c08cf1e9f015f74298c3c713c16c364cc3efb9cef52ac23eade	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.page	0	2026-08-13T02:54:24Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.r001	183304192	2026-08-13T03:27:51Z	0d719bf0ec3ded3015d10af95f712aa8aba4fb2f103194824746eb551edda5ad	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm3.rst	583925760	2026-08-13T03:27:51Z	86e2fa09124d204740889a18348ef6e9ef1e9ca9dd9a5ae564d76ff4e9d566df	incomplete_rst
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm.ldhi	13769388	2026-08-13T03:27:53Z	08901d8fef261f6dc48ad7537cb880423ebdd90bfdc1a8cb5790b5f063d23e3c	solver_scratch
iop0/eyelid_1p25mm_indent_0p28mm/attempt_1/eyelid_1p25mm_indent_0p28mm.rdb	493355008	2026-08-13T02:55:30Z	05c0a8fc8df37423e7b1f854ac2a9df5ec055fdc87fa8c30f12bbd3ca68f0b31	solver_scratch
