scope,n,mae_mmhg,rmse_mmhg,maximum_absolute_error_mmhg,mean_absolute_relative_error,maximum_absolute_relative_error
thickness_scan_at_20_mmhg_total_error,9,1.505769848237014,1.6944058215667714,2.868794027147562,0.0752884924118507,0.1434397013573781
thickness_scan_at_20_mmhg_thickness_attributable_shift,9,0.6218447812247838,0.8161887291736507,1.5627420782193795,0.031092239061239188,0.07813710391096898
reference_curve_normal_iop_model_error,5,1.238901986135001,1.3028527260042646,1.584453129223217,0.08181656707166698,0.10563020861488112
reference_curve_high_iop_model_error,16,1.0033781254891814,1.210332609784915,2.900273097573873,0.02404883158857538,0.04833788495956455
