record_type,source_file,case_id,state,eyelid_thickness_mm,cornea_thickness_mm,p_iop_mmhg,p_iop_pa,p_probe_delta_mmhg,p_probe_delta_pa,p_probe_absolute_mmhg,probe_force_n,probe_force_delta_n,probe_displacement_mm,eyelid_modulus_scale,cornea_modulus_scale,corneal_radius_mm,probe_area_mm2,corneal_applanation_area_mm2,contact_force_n,eyelid_displacement_mm,corneal_displacement_mm,tangent_stiffness_n_per_mm,source_status,assumption_note
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_35.0,primary_0p26,1.25,0.6,35.0,4666.27,8.428966226071458,1123.766635192299,,0.16250468143551,0.01647155909798,0.259875,,,7.8,14.65741468458854,4.592259068391804,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_37.5,primary_0p26,1.25,0.6,37.5,4999.575,8.687134114308124,1158.1860943877878,,0.16300918311629,0.01697606077876,0.259875,,,7.8,14.65741468458854,4.548681849557162,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_40.0,primary_0p26,1.25,0.6,40.0,5332.88,8.936937455920008,1191.4903754981674,,0.16349733912426,0.01746421678673,0.259875,,,7.8,14.65741468458854,4.552776604011648,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_42.5,primary_0p26,1.25,0.6,42.5,5666.185,9.18187963698267,1224.1465569618035,,0.1639759956407,0.01794287330317,0.259875,,,7.8,14.65741468458854,4.5569122064957,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_45.0,primary_0p26,1.25,0.6,45.0,5999.49,9.421805330298094,1256.1339302460026,,0.16444484913122,0.01841172679369,0.259875,,,7.8,14.65741468458854,4.526129787453596,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_47.5,primary_0p26,1.25,0.6,47.5,6332.795,9.65902083101028,1287.7599752319525,,0.1649084064684,0.01887528413087,0.259875,,,7.8,14.65741468458854,4.478420230200055,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_50.0,primary_0p26,1.25,0.6,50.0,6666.1,9.906446283258044,1320.7472313765288,,0.16539191569714,0.01935879335961,0.259875,,,7.8,14.65741468458854,4.465074208286621,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_52.5,primary_0p26,1.25,0.6,52.5,6999.405,10.133792905170193,1351.0575377031005,,0.16583618765388,0.01980306531635,0.259875,,,7.8,14.65741468458854,4.4342485152952245,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_55.0,primary_0p26,1.25,0.6,55.0,7332.71,10.357769771489542,1380.9185814745288,,0.16627387456485,0.0202407522273199,0.259875,,,7.8,14.65741468458854,4.420570835082351,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_57.5,primary_0p26,1.25,0.6,57.5,7666.015,10.579466298404345,1410.4756058358641,,0.16670710532494,0.02067398298741,0.259875,,,7.8,14.65741468458854,4.408031233819576,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,primary_0p26_iop_60.0,primary_0p26,1.25,0.6,60.0,7999.32,10.799184206334418,1439.7688367569174,,0.1671364695445,0.02110334720697,0.259875,,,7.8,14.65741468458854,4.359924525767951,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_0.0,sensitivity_0p28,1.25,0.6,0.0,0.0,0.0,0.0,,0.16191409653827,0.0,0.2799999999999999,,,7.8,14.65741468458854,5.956870681344404,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_2.5,sensitivity_0p28,1.25,0.6,2.5,333.305,0.3009570925251356,40.12420148963613,,0.16250221522359,0.00058811868532,0.2799999999999999,,,7.8,14.65741468458854,5.905639123354757,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
