bootstrap_id,c_n_per_mm_per_mm_power,exponent_m_for_k_proportional_h_to_m,n_for_k_proportional_h_to_minus_n
0,0.8310940834146747,0.9937536706102343,-0.9937536706102343
1,0.8326968422902168,0.9915490120544435,-0.9915490120544435
2,0.8315763602116367,0.9909868866155289,-0.9909868866155289
3,0.8324852685894184,0.9890545989104857,-0.9890545989104857
4,0.8318186895509152,0.9931085001318809,-0.9931085001318809
5,0.8323853521091449,0.9900453880157996,-0.9900453880157996
6,0.8314868230715254,0.9926362904313604,-0.9926362904313604
7,0.8298561197563898,0.9948656046368337,-0.9948656046368337
8,0.8315799673258799,0.9913207093420273,-0.9913207093420273
9,0.8292675610278545,0.9947432523682107,-0.9947432523682107
10,0.8326052754059762,0.9886126155037152,-0.9886126155037152
11,0.8315042324025882,0.99219328686702,-0.99219328686702
12,0.8289470831771164,0.9966979423528268,-0.9966979423528268
13,0.8306493882730461,0.9973020389474947,-0.9973020389474947
14,0.8318056493313745,0.9928603523745452,-0.9928603523745452
15,0.8316732054466157,0.9913168654515354,-0.9913168654515354
16,0.8294690864044323,0.9971978501603669,-0.9971978501603669
17,0.8296278123833948,0.9956743221349659,-0.9956743221349659
18,0.8326710658250166,0.9887939298345438,-0.9887939298345438
19,0.8289666298280691,0.9998521968907287,-0.9998521968907287
20,0.8317328302829824,0.9898111455423169,-0.9898111455423169
21,0.8333698111541521,0.9891825547768853,-0.9891825547768853
22,0.8327254167653668,0.9899217572976969,-0.9899217572976969
23,0.8327148493911108,0.9881993661522791,-0.9881993661522791
24,0.834507865595147,0.985413509020163,-0.985413509020163
25,0.8310761292734088,0.9918325089108608,-0.9918325089108608
26,0.8307070561051575,0.9919703863365329,-0.9919703863365329
27,0.831241607024373,0.9923653856956217,-0.9923653856956217
28,0.8329117229045926,0.9884763840835231,-0.9884763840835231
29,0.8328551912722124,0.9897921968703618,-0.9897921968703618
30,0.8311740223387802,0.989166748372876,-0.989166748372876
31,0.8313774611701668,0.991215311598478,-0.991215311598478
32,0.8327264623230142,0.98918086595296,-0.98918086595296
33,0.8300882185902984,0.9940971989568352,-0.9940971989568352
34,0.8344738164167608,0.9864105547779551,-0.9864105547779551
35,0.8315799673258798,0.9913207093420275,-0.9913207093420275
36,0.8317991258896636,0.9907361613821692,-0.9907361613821692
37,0.8345923381504241,0.9858601613067363,-0.9858601613067363
38,0.8298198084886221,0.9953691707997598,-0.9953691707997598
39,0.8327764189328672,0.9906858890346676,-0.9906858890346676
40,0.8312539998476184,0.9925459429030954,-0.9925459429030954
41,0.8316832024998947,0.9920784467078928,-0.9920784467078928
42,0.8300063824178515,0.996543036030703,-0.996543036030703
