source_id,treatment,fit_range,strategy,metric,n,mean,sd,ci95_low,ci95_high
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_fixed_current_ratio,c10_mpa,7,0.029913624,0.0053665251,0.025938047,0.033889202
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_fixed_current_ratio,c01_mpa,7,0.0067985509,0.0012196648,0.0058950106,0.0077020913
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_fixed_current_ratio,c10_over_current_model,7,0.36258938,0.065048789,0.31440057,0.4107782
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_fixed_current_ratio,equivalent_base_material_scale,7,0.27194204,0.048786592,0.23580042,0.30808365
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_fixed_current_ratio,mr_small_strain_e_mpa,7,0.22027305,0.039517139,0.19099834,0.24954776
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_fixed_current_ratio,nrmse_span_percent,7,14.74901,0.41090567,14.444607,15.053413
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_fixed_current_ratio,fit_end_strain,7,0.074484554,0.013147736,0.064744575,0.084224534
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_small_strain_conversion,c10_mpa,7,0.0043534392,0.00092915943,0.0036651082,0.0050417701
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_small_strain_conversion,c01_mpa,7,0.00098941799,0.0002111726,0.00083297914,0.0011458568
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_small_strain_conversion,c10_over_current_model,7,0.052768959,0.011262539,0.044425554,0.061112365
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_small_strain_conversion,equivalent_base_material_scale,7,0.03957672,0.0084469039,0.033319166,0.045834274
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_small_strain_conversion,mr_small_strain_e_mpa,7,0.032057143,0.0068419922,0.026988524,0.037125762
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_small_strain_conversion,nrmse_span_percent,7,29.886379,0.14546577,29.778616,29.994142
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_small_strain_conversion,fit_end_strain,7,0.074484554,0.013147736,0.064744575,0.084224534
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_free_unconstrained,c10_mpa,7,1.3148524,0.57228381,0.89089863,1.7388062
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_free_unconstrained,c01_mpa,7,-1.3450573,0.58012412,-1.7748192,-0.9152953
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_free_unconstrained,c10_over_current_model,7,15.937605,6.9367735,10.798771,21.076439
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_free_unconstrained,equivalent_base_material_scale,7,11.953204,5.2025801,8.0990785,15.807329
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_free_unconstrained,mr_small_strain_e_mpa,7,-0.18122909,0.048875148,-0.21743631,-0.14502188
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_free_unconstrained,nrmse_span_percent,7,5.0019228,0.39043723,4.7126828,5.2911627
PORCINE_DRYAD_2020,control_PBS,stress_0_to_0p03mpa,mr_free_unconstrained,fit_end_strain,7,0.074484554,0.013147736,0.064744575,0.084224534
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_nonnegative,c10_mpa,7,0.025847092,0.021726609,0.0097517951,0.04194239
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_nonnegative,c01_mpa,7,0,0,0,0
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_nonnegative,c10_over_current_model,7,0.31329809,0.26335284,0.11820358,0.5083926
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_nonnegative,equivalent_base_material_scale,7,0.23497357,0.19751463,0.088652683,0.38129445
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_nonnegative,mr_small_strain_e_mpa,7,0.15508255,0.13035965,0.058510771,0.25165434
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_nonnegative,nrmse_span_percent,7,10.488493,2.3544251,8.7443102,12.232675
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_free_nonnegative,fit_end_strain,7,0.03,0,0.03,0.03
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_fixed_current_ratio,c10_mpa,7,0.021140079,0.017768698,0.0079768438,0.034303314
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_fixed_current_ratio,c01_mpa,7,0.0048045634,0.0040383404,0.001812919,0.0077962078
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_fixed_current_ratio,c10_over_current_model,7,0.25624338,0.21537815,0.096689015,0.41579775
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_fixed_current_ratio,equivalent_base_material_scale,7,0.19218254,0.16153361,0.072516761,0.31184831
PORCINE_DRYAD_2020,CXL,strain_0_to_0p03,mr_fixed_current_ratio,mr_small_strain_e_mpa,7,0.15566786,0.13084223,0.058738577,0.25259713
