source_id,cycle,age_year,strain,stress_mpa,tangent_modulus_mpa,coefficient_a_mpa,coefficient_b
AGE_INFLATION_2010,first_loading,40,0.029,0.013395924,1.3261662,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.0295,0.014074522,1.3887058,0.0009939,92.16
AGE_INFLATION_2010,first_loading,40,0.03,0.014785122,1.4541946,0.0009939,92.16
AGE_INFLATION_2010,first_loading,50,0,0,0.11122072,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0005,5.6903504e-05,0.11643308,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.001,0.00011647379,0.12188972,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0015,0.00017883584,0.12760208,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.002,0.00024412049,0.13358216,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0025,0.0003124647,0.13984249,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.003,0.00038401187,0.14639621,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0035,0.0004589121,0.15325707,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.004,0.00053732252,0.16043946,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0045,0.00061940766,0.16795846,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.005,0.00070533971,0.17582984,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0055,0.00079529897,0.18407011,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.006,0.00088947418,0.19269655,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0065,0.0009880629,0.20172728,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.007,0.001091272,0.21118123,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0075,0.001199318,0.22107825,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.008,0.0013124275,0.23143908,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0085,0.001430838,0.24228548,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.009,0.0015547977,0.25364019,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0095,0.0016845669,0.26552704,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.01,0.0018204176,0.27797097,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0105,0.001962635,0.29099809,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.011,0.0021115174,0.30463572,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0115,0.0022673772,0.31891248,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.012,0.0024305414,0.33385831,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0125,0.0026013523,0.34950459,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.013,0.0027801682,0.36588413,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0135,0.0029673644,0.38303129,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.014,0.0031633334,0.40098206,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0145,0.0033684866,0.41977409,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.015,0.0035832543,0.43944681,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0155,0.0038080871,0.4600415,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.016,0.0040434567,0.48160135,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0165,0.0042898568,0.5041716,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.017,0.0045478045,0.52779962,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0175,0.004817841,0.55253495,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.018,0.0051005327,0.57842951,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0185,0.0053964727,0.60553762,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.019,0.005706282,0.63391615,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0195,0.0060306105,0.66362464,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.02,0.0063701387,0.69472542,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0205,0.0067255789,0.72728374,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.021,0.0070976767,0.76136791,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.0215,0.007487213,0.79704943,0.0012142,91.6
AGE_INFLATION_2010,first_loading,50,0.022,0.0078950048,0.83440316,0.0012142,91.6
