metric,unit,test1_mean,test1_sd,test2_mean,test2_sd,icc,source_id
stiffness,N/mm,0.079,0.013,0.08,0.013,0.812,CID_2021
tangent_modulus,MPa,0.653,0.123,0.659,0.129,0.858,CID_2021
