case,eyelid_thickness_mm,indent_mm,angle_deg,outer_flat_area_mm2,outer_coverage_fraction,outer_selected_faces,inner_flat_area_mm2,inner_selected_faces,ae_over_ac,image,multiview_image
eyelid_1p25mm_indent_0p28mm,1.25,0.28,1.0,5.435147275256181,0.3708121378984343,336,1.4577758439410218,63,3.728383412200425,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p25mm_indent_0p28mm_flat_region_1deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p25mm_indent_0p28mm_flat_region_1deg_multiview.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,1.0,5.552944860309695,0.3788488611261241,332,0.9253929216521601,38,6.000634682179853,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p40mm_indent_0p28mm_flat_region_1deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p40mm_indent_0p28mm_flat_region_1deg_multiview.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,1.0,5.719070082977958,0.3901827304504965,353,0.7123497309358454,22,8.02845826229844,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p50mm_indent_0p28mm_flat_region_1deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p50mm_indent_0p28mm_flat_region_1deg_multiview.png
eyelid_1p60mm_indent_0p28mm,1.6,0.28,1.0,5.871137044497036,0.40055747693829064,355,0.5929728819103863,16,9.901189790639226,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p60mm_indent_0p28mm_flat_region_1deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_1deg/eyelid_1p60mm_indent_0p28mm_flat_region_1deg_multiview.png
eyelid_0p80mm_indent_0p28mm,0.8,0.28,2.0,6.039670612460983,0.4120556552726426,394,4.681979230867508,274,1.2899823588798605,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_0p80mm_indent_0p28mm_flat_region_2deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_0p80mm_indent_0p28mm_flat_region_2deg_multiview.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,2.0,6.221554040991389,0.4244646259161249,386,3.9314749739848938,224,1.5824987014187453,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p00mm_indent_0p28mm_flat_region_2deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p00mm_indent_0p28mm_flat_region_2deg_multiview.png
eyelid_1p20mm_indent_0p28mm,1.2,0.28,2.0,6.391265495716191,0.4360431654046231,408,3.0468903048738967,167,2.097635574701371,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p20mm_indent_0p28mm_flat_region_2deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p20mm_indent_0p28mm_flat_region_2deg_multiview.png
eyelid_1p25mm_indent_0p28mm,1.25,0.28,2.0,6.47144534565006,0.44151342408661104,408,2.931913193653485,156,2.2072431611066663,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p25mm_indent_0p28mm_flat_region_2deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p25mm_indent_0p28mm_flat_region_2deg_multiview.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,2.0,6.6657715119050645,0.4547712987143466,406,2.4735273429831155,124,2.6948444822388873,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p40mm_indent_0p28mm_flat_region_2deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p40mm_indent_0p28mm_flat_region_2deg_multiview.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,2.0,6.785616571536365,0.4629477105994051,429,2.265889904757062,108,2.9946806141333178,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p50mm_indent_0p28mm_flat_region_2deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_2deg/eyelid_1p50mm_indent_0p28mm_flat_region_2deg_multiview.png
