eyelid_thickness_mm,geometric_indent_mm,actual_indent_0p26_mm,indent_0p26_minus_geometric_um,force_zero_0p26_n,force_20_0p26_n,delta_force_0p26_n,delta_probe_pressure_0p26_mmhg,ae_zero_0p26_mm2,ac5_zero_0p26_mm2,kgeo_zero_0p26,ae_20_0p26_mm2,ac5_20_0p26_mm2,kgeo_20_0p26,calculated_iop_0p26_mmhg,signed_error_0p26_mmhg,relative_error_0p26_percent
0.8,0.27567420147433275,0.259875,-15.799201474332724,0.092070695432146,0.10450647797498,0.012435782542834006,6.363761929627482,13.092576832498244,6.262339803831861,2.0906845113206773,13.128156896488937,5.711801558880965,2.2984266454559665,16.330451363723796,-3.669548636276204,-18.34774318138102
1.0,0.26920871196581153,0.259875,-9.333711965811508,0.11544661917022,0.12803070076836,0.012584081598140007,6.439650992427142,12.980037244632669,5.9597220765902605,2.1779601595212212,13.171281826184018,5.329234241619064,2.471514898579965,17.711481751522847,-2.2885182484771533,-11.442591242385767
1.2,0.26304400835165076,0.259875,-3.1690083516507372,0.13995447568009,0.15272660540211,0.012772129722019993,6.535880842664826,13.187691819275477,5.383053920113365,2.449853190212471,13.07292803228184,4.9371357676474865,2.6478769569083584,19.403783964734682,-0.5962160352653179,-2.9810801763265893
1.25,0.26154734893565035,0.259875,-1.6723489356503252,0.14603312233755,0.15881782712705,0.012784704789500001,6.542315880863359,13.052876225311696,5.317452780205734,2.4547234860084037,12.992361979689166,4.938232896485252,2.630973923675486,19.418573176577958,-0.5814268234220421,-2.9071341171102105
1.4,0.2571592880114437,0.259875,2.715711988556302,0.16392882998012,0.17702716862833,0.01309833864821,6.702811708369684,13.075621550579282,4.920242515838167,2.657515662792861,13.037133779307048,4.570673572464253,2.852344096031813,21.494838606319696,1.4948386063196963,7.474193031598482
1.5,0.25431594626476084,0.259875,5.559053735239184,0.1760131789559,0.18920647076234,0.013193291806440022,6.751402079853004,13.198724447516334,4.6817195566602265,2.819204415766381,12.98123986043485,4.4891564059828,2.891688033665848,22.043807574829728,2.043807574829728,10.21903787414864
1.6,0.2515356479898756,0.259875,8.339352010124424,0.18746198187772,0.2009286135185,0.013466631640779991,6.89127824973873,13.02234243200235,4.505682720766109,2.890204046544169,13.099385061672212,4.367654473282053,2.9991807139974473,23.126445471178457,3.1264454711784566,15.632227355892283
1.8,0.24615587044556264,0.259875,13.719129554437382,0.21041738749146,0.22376667448559,0.013349286994130016,6.831229483814706,13.140049123573945,4.225566741226481,3.1096536697370953,13.032116390509403,3.9482521602305547,3.300730516094596,25.360123742454423,5.360123742454423,26.80061871227212
2.0,0.24100423684579653,0.259875,18.870763154203495,0.232472026456,0.24509427687357,0.01262225041756998,6.459183119106798,13.20915092316775,3.872274456458377,3.4112124725913615,13.291849812630508,3.7636118638843215,3.531673906169578,25.155337193227727,5.1553371932277265,25.776685966138636
