eyelid_thickness_mm,geometric_indent_mm,actual_indent_0p26_mm,indent_0p26_minus_geometric_um,indent_0p26_over_geometric,force_zero_0p26_n,force_20_0p26_n,delta_force_0p26_n,delta_probe_pressure_0p26_mmhg,ae_zero_0p26_mm2,ac5_zero_0p26_mm2,kgeo_zero_0p26,ae_20_0p26_mm2,ac5_20_0p26_mm2,kgeo_20_0p26,kgeo_20_minus_zero_0p26,calculated_iop_0p26_mmhg,signed_error_0p26_mmhg,relative_error_0p26_percent,force_zero_0p28_n,force_20_0p28_n,delta_force_0p28_n,ae_20_0p28_mm2,ac5_20_0p28_mm2,kgeo_20_0p28,calculated_iop_0p28_mmhg,force_zero_change_0p26_vs_0p28_percent,force_20_change_0p26_vs_0p28_percent,delta_force_change_0p26_vs_0p28_percent,ae_20_change_0p26_vs_0p28_percent,ac5_20_change_0p26_vs_0p28_percent,kgeo_20_change_0p26_vs_0p28_percent,calculated_iop_change_0p26_vs_0p28_percent,state_zero_json,state_20_json
0.8,0.27567420147433275,0.259875,-15.799201474332724,0.9426888646458862,0.092070695432146,0.10450647797498,0.012435782542834006,6.363761929627482,13.092576832498244,6.262339803831861,2.0906845113206773,13.128156896488937,5.711801558880965,2.2984266454559665,0.2077421341352892,16.330451363723796,-3.669548636276204,-18.34774318138102,0.10121346955966,0.11499258753282,0.013779117973160004,13.087867881019081,6.225387142968553,2.1023379880561417,16.601725701486934,-9.03315948686535,-9.118943910056087,-9.749066906478687,0.30783482715535104,-8.249857756519974,9.327170917038497,-1.6340128890266037,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t0p80_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t0p80_iop20/geometry_state.json
1.0,0.26920871196581153,0.259875,-9.333711965811508,0.9653290865007487,0.11544661917022,0.12803070076836,0.012584081598140007,6.439650992427142,12.980037244632669,5.9597220765902605,2.1779601595212212,13.171281826184018,5.329234241619064,2.471514898579965,0.29355473905874385,17.711481751522847,-2.2885182484771533,-11.442591242385767,0.12758375882323,0.14121869867232,0.013634939849090005,13.13244214100981,5.937382417836331,2.211823530443145,17.224887110859857,-9.513075774657388,-9.338705162948047,-7.707098546680669,0.29575371250196714,-10.242698438799325,11.741052781222127,2.8249511159710528,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p00_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p00_iop20/geometry_state.json
1.2,0.26304400835165076,0.259875,-3.1690083516507372,0.9879525545116609,0.13995447568009,0.15272660540211,0.012772129722019993,6.535880842664826,13.187691819275477,5.383053920113365,2.449853190212471,13.07292803228184,4.9371357676474865,2.6478769569083584,0.19802376669588728,19.403783964734682,-0.5962160352653179,-2.9810801763265893,0.1550905771529,0.16890627536396,0.01381569821105999,13.036319583327078,5.411004803295312,2.4092234358003037,19.151072417483814,-9.759523596258003,-9.579081610192386,-7.553498007104564,0.28081889770164015,-8.757505359434138,9.905827643951092,1.319568647341951,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p20_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p20_iop20/geometry_state.json
1.25,0.26154734893565035,0.259875,-1.6723489356503252,0.9936059419357304,0.14603312233755,0.15881782712705,0.012784704789500001,6.542315880863359,13.052876225311696,5.317452780205734,2.4547234860084037,12.992361979689166,4.938232896485252,2.630973923675486,0.17625043766708215,19.418573176577958,-0.5814268234220421,-2.9071341171102105,0.16191409651865,0.17573429978338,0.013820203264730019,12.956443394071282,5.344842004794155,2.424102224621375,19.394462085319315,-9.80827149862813,-9.626164429586147,-7.492642875034061,0.27722565927559284,-7.607504729684944,8.533951124376472,0.1243194637344125,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p25_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p25_iop20/geometry_state.json
1.4,0.2571592880114437,0.259875,2.715711988556302,1.0105604273894064,0.16392882998012,0.17702716862833,0.01309833864821,6.702811708369684,13.075621550579282,4.920242515838167,2.657515662792861,13.037133779307048,4.570673572464253,2.852344096031813,0.19482843323895205,21.494838606319696,1.4948386063196963,7.474193031598482,0.18211663987191,0.19613956508201,0.014022925210099985,13.003298875824354,5.039474393844641,2.5802887086214703,20.871398727409776,-9.986901748561927,-9.744284099788182,-6.593392947885457,0.2602024594358765,-9.302573735725183,10.543602601574364,2.987053656788108,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p40_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p40_iop20/geometry_state.json
1.5,0.25431594626476084,0.259875,5.559053735239184,1.021858848479174,0.1760131789559,0.18920647076234,0.013193291806440022,6.751402079853004,13.198724447516334,4.6817195566602265,2.819204415766381,12.98123986043485,4.4891564059828,2.891688033665848,0.07248361789946722,22.043807574829728,2.043807574829728,10.21903787414864,0.19569464437271,0.20982014586178,0.014125501489069991,13.176858418654758,4.834328097805413,2.7256855869249987,21.916234230939352,-10.057232521563385,-9.824449894825326,-6.599480261648005,-1.4845614334215496,-7.140013769013875,6.090300639852098,0.5820951836254862,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p50_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p50_iop20/geometry_state.json
1.6,0.2515356479898756,0.259875,8.339352010124424,1.033153758032977,0.18746198187772,0.2009286135185,0.013466631640779991,6.89127824973873,13.02234243200235,4.505682720766109,2.890204046544169,13.099385061672212,4.367654473282053,2.9991807139974473,0.10897666745327816,23.126445471178457,3.1264454711784566,15.632227355892283,0.20861295437414,0.22301896886945,0.014406014495309982,13.068393802074468,4.5786135236887615,2.854225134849537,23.599784688248583,-10.138858614928814,-9.90514639312191,-6.520768494546614,0.2371466613810158,-4.607487601110083,5.078631582983095,-2.005692947299742,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p60_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p60_iop20/geometry_state.json
1.8,0.24615587044556264,0.259875,13.719129554437382,1.0557335054801034,0.21041738749146,0.22376667448559,0.013349286994130016,6.831229483814706,13.140049123573945,4.225566741226481,3.1096536697370953,13.032116390509403,3.9482521602305547,3.300730516094596,0.19107684635750077,25.360123742454423,5.360123742454423,26.80061871227212,0.23471578159383,0.2488258549019,0.014110073308070015,13.044687651567562,4.357146846216153,2.993859998750299,24.289873507206384,-10.352262611986518,-10.070971292830333,-5.391795615299033,-0.09637073262270812,-9.384459611240603,10.249995573353177,4.406158125650661,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p80_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t1p80_iop20/geometry_state.json
2.0,0.24100423684579653,0.259875,18.870763154203495,1.0783005452567114,0.232472026456,0.24509427687357,0.01262225041756998,6.459183119106798,13.20915092316775,3.872274456458377,3.4112124725913615,13.291849812630508,3.7636118638843215,3.531673906169578,0.12046143357821659,25.155337193227727,5.1553371932277265,25.776685966138636,0.25962020587861,0.27290762702297,0.01328742114435999,13.26683870296757,3.952422487603536,3.3566347587025356,25.215960678885303,-10.456882325755345,-10.19148876592556,-5.006018245100552,0.18852350754323677,-4.77708606079953,5.214721292307112,-0.2404171168792324,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t2p00_iop0/geometry_state.json,/home/xuanyu/PROJECT/ziyu/blueknow-data/geometry_zero_state_0p26/20260729T101302Z_full9_iop0_20_from_retained_rst/states/t2p00_iop20/geometry_state.json
