case,profile,offset_mm,indent_mm,eyelid_thickness_mm,cornea_thickness_mm,mesh_size_mm,iop_mmhg,eyelid_material_scale,cornea_material_scale,eyelid_c10_mpa,eyelid_c01_mpa,eyelid_d1_pa_inv,cornea_c10_mpa,cornea_c01_mpa,cornea_d1_pa_inv,status,failure_reason,attempt_count,selected_attempt,np_used,returncode,started_at_utc,ended_at_utc,elapsed_seconds,timeout_seconds,ansys_error_count,views_count,artifact_pruned_files,artifact_pruned_bytes,artifact_prune_error,probe_fx_n,probe_fy_n,contact_area_m2,contact_x_center_m,pmax_pa,max_penetration_m,n_outer,inner_max_downward_m,inner_effect_area_m2,inner_area_1deg_m2,inner_area_2deg_m2,inner_area_3deg_m2,inner_face_count,inner_area_smooth_2deg_m2,inner_smooth_2deg_face_count,outer_flat_projected_area_1deg_m2,outer_flat_projected_area_2deg_m2,outer_flat_projected_area_3deg_m2,outer_flat_surface_area_2deg_m2,outer_flat_face_count_2deg,outer_flat_displacement_threshold_m,inner_flat_projected_area_1deg_m2,inner_flat_projected_area_2deg_m2,inner_flat_projected_area_3deg_m2,inner_flat_surface_area_2deg_m2,inner_flat_face_count_2deg,inner_flat_displacement_threshold_m,outer_local_max_downward_m,outer_surface_area_m2,outer_projected_area_m2,outer_break_radius_m,outer_break_method_code,outer_threshold_m,outer_area_sensitivity_fraction,outer_diameter_sensitivity_m,outer_face_count,inner_local_max_downward_m,inner_surface_area_m2,inner_projected_area_m2,inner_break_radius_m,inner_break_method_code,inner_threshold_m,inner_area_sensitivity_fraction,inner_diameter_sensitivity_m,cornea_peak_pa,eyelid_peak_pa,probe_uy_m,probe_uy_max_m,initial_gap_m,preload_apex_uy_m,preload_clearance_m,approach_push_m,commanded_push_m,target_indent_m,preload_probe_fy_n,preload_contact_area_m2,preload_contact_count,approach_probe_fy_n,approach_contact_area_m2,approach_contact_count,preload_converged,approach_converged,indentation_converged,result_load_step,result_time,result_rst,attempt_dir,git_commit,git_dirty
eyelid_1p60mm_indent_0p28mm,thickness-custom,0.0,0.28,1.6,0.6,0.2,20.0,1.0,0.75,0.076,0.01,1e-07,0.0825,0.018750000000000003,1e-07,complete,,1,1,4,0,2026-08-08T08:48:23+00:00,2026-08-08T11:27:36+00:00,9551.594,43200.0,0,0,21,16851401378,,1.5912938519258e-07,-0.22756817068164,6.583461904075e-06,5.3593174613773e-06,51303.72265625,9.0861234032976e-06,853,0.000239000142391177,5.81995621463744e-05,4.83019923188153e-07,1.58515986448037e-06,2.67332798731072e-06,9872.0,1.32303834926336e-06,155.0,5.56279485144678e-06,6.48941535496113e-06,7.02517869706178e-06,6.4897170618744e-06,839.0,1.34666739233751e-05,3.23596777428564e-07,1.32303834926336e-06,2.68309221355332e-06,1.32340351150094e-06,155.0,1.18953825360755e-05,0.000260515778886033,7.75318862734515e-06,7.75092588179154e-06,0.0015707401475048,2.0,1.34666739233751e-05,0.0719691525432292,0.000114934773663746,14112.0,0.00023790765072151,6.00538987025993e-06,5.99292759538076e-06,0.00138116511665604,2.0,4.75815301443021e-06,0.193786958942972,0.000281306568507763,39831.520609395,26615.241283124,-0.0005371000530795,-0.0005371000530795,0.0003,4.28999469205e-05,0.0002571000530795,0.0002571000530795,0.0005371000530795,0.00028,0.0,0.0,0,2.0834858843331e-13,0.0,0,1,1,1,3.0,3.0,eyelid_1p60mm_indent_0p28mm/attempt_1/eyelid_1p60mm_indent_0p28mm.rst,eyelid_1p60mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a,false
eyelid_1p80mm_indent_0p28mm,thickness-custom,0.0,0.28,1.8,0.6,0.2,20.0,1.0,0.75,0.076,0.01,1e-07,0.0825,0.018750000000000003,1e-07,complete,,1,1,4,0,2026-08-08T11:27:36+00:00,2026-08-08T16:21:43+00:00,17645.269,43200.0,0,0,21,18513553106,,7.3413280625024e-07,-0.25380794670309,7.1060724241567e-06,-2.0168205959004e-06,53723.553385417,9.4951165010571e-06,930,0.000227105857982409,6.04967891083845e-05,2.62652422468856e-07,1.04298543852057e-06,2.03830789083746e-06,9872.0,1.04298543852057e-06,121.0,5.85339338449755e-06,6.89878415630546e-06,7.50358415868293e-06,6.89910747860108e-06,899.0,1.29715065509211e-05,2.86609452171462e-07,1.04298543852057e-06,2.21842320182597e-06,1.0432814007517e-06,121.0,1.12894636843188e-05,0.000259430131018423,8.11153709163422e-06,8.10945469701838e-06,0.00160665320200969,2.0,1.20194645200792e-05,0.0761155327413462,0.000124490218041737,14700.0,0.000225789273686375,5.7298031012523e-06,5.71686024563996e-06,0.00134897469959829,2.0,4.5157854737275e-06,0.172080697367855,0.000242415855701267,37559.106064882,26983.288243577,-0.00054156293142448,-0.00054156293142448,0.0003,3.8437068575524e-05,0.00026156293142448,0.00026156293142448,0.00054156293142448,0.00028,0.0,0.0,0,4.3198053115298e-14,0.0,0,1,1,1,3.0,3.0,eyelid_1p80mm_indent_0p28mm/attempt_1/eyelid_1p80mm_indent_0p28mm.rst,eyelid_1p80mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a,false
eyelid_2p00mm_indent_0p28mm,thickness-custom,0.0,0.28,2.0,0.6,0.2,20.0,1.0,0.75,0.076,0.01,1e-07,0.0825,0.018750000000000003,1e-07,complete,,1,1,4,0,2026-08-08T16:21:43+00:00,2026-08-08T23:46:39+00:00,26694.627,43200.0,0,0,21,20202743890,,1.8458267018687e-07,-0.27862165835046,7.3616693164746e-06,1.4378074268e-06,55630.860677083,9.7603484997914e-06,962,0.000215325123185195,6.28852547394587e-05,1.83001544080202e-07,8.54379625335823e-07,1.83948946588913e-06,9872.0,8.40881709590586e-07,96.0,6.28189068542369e-06,7.27819816439961e-06,8.00119722109397e-06,7.27850396017642e-06,950.0,1.29310594997517e-05,2.04269301299816e-07,8.40881709590586e-07,1.89099251241696e-06,8.41112884894494e-07,96.0,1.06907048225231e-05,0.000258621189995034,8.45027750640354e-06,8.44849489122e-06,0.00163987377267368,2.0,1.01252522948123e-05,0.0827988519222881,0.000138531092950397,15500.0,0.000213814096450461,5.63519491788211e-06,5.62091188464e-06,0.00133760554081006,2.0,4.27628192900923e-06,0.178468350696887,0.000249720061276229,35301.420504973,27473.990223145,-0.00054522133092263,-0.00054522133092263,0.0003,3.4778669077374e-05,0.00026522133092263,0.00026522133092263,0.00054522133092263,0.00028,0.0,0.0,0,6.7304835755254e-15,0.0,0,1,1,1,3.0,3.0,eyelid_2p00mm_indent_0p28mm/attempt_1/eyelid_2p00mm_indent_0p28mm.rst,eyelid_2p00mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a,false
