case,profile,offset_mm,indent_mm,eyelid_thickness_mm,cornea_thickness_mm,mesh_size_mm,iop_mmhg,eyelid_material_scale,cornea_material_scale,eyelid_c10_mpa,eyelid_c01_mpa,eyelid_d1_pa_inv,cornea_c10_mpa,cornea_c01_mpa,cornea_d1_pa_inv,status,failure_reason,attempt_count,selected_attempt,np_used,returncode,started_at_utc,ended_at_utc,elapsed_seconds,timeout_seconds,ansys_error_count,views_count,artifact_pruned_files,artifact_pruned_bytes,artifact_prune_error,probe_fx_n,probe_fy_n,contact_area_m2,contact_x_center_m,pmax_pa,max_penetration_m,n_outer,inner_max_downward_m,inner_effect_area_m2,inner_area_1deg_m2,inner_area_2deg_m2,inner_area_3deg_m2,inner_face_count,inner_area_smooth_2deg_m2,inner_smooth_2deg_face_count,outer_flat_projected_area_1deg_m2,outer_flat_projected_area_2deg_m2,outer_flat_projected_area_3deg_m2,outer_flat_surface_area_2deg_m2,outer_flat_face_count_2deg,outer_flat_displacement_threshold_m,inner_flat_projected_area_1deg_m2,inner_flat_projected_area_2deg_m2,inner_flat_projected_area_3deg_m2,inner_flat_surface_area_2deg_m2,inner_flat_face_count_2deg,inner_flat_displacement_threshold_m,outer_local_max_downward_m,outer_surface_area_m2,outer_projected_area_m2,outer_break_radius_m,outer_break_method_code,outer_threshold_m,outer_area_sensitivity_fraction,outer_diameter_sensitivity_m,outer_face_count,inner_local_max_downward_m,inner_surface_area_m2,inner_projected_area_m2,inner_break_radius_m,inner_break_method_code,inner_threshold_m,inner_area_sensitivity_fraction,inner_diameter_sensitivity_m,cornea_peak_pa,eyelid_peak_pa,probe_uy_m,probe_uy_max_m,initial_gap_m,preload_apex_uy_m,preload_clearance_m,approach_push_m,commanded_push_m,target_indent_m,preload_probe_fy_n,preload_contact_area_m2,preload_contact_count,approach_probe_fy_n,approach_contact_area_m2,approach_contact_count,preload_converged,approach_converged,indentation_converged,result_load_step,result_time,result_rst,attempt_dir,git_commit,git_dirty
eyelid_1p60mm_indent_0p28mm,thickness-custom,0.0,0.28,1.6,0.6,0.2,0.0,1.0,0.75,0.076,0.01,1e-07,0.0825,0.018750000000000003,1e-07,complete,,1,1,4,0,2026-08-07T17:18:50+00:00,2026-08-08T02:01:00+00:00,31328.528,43200.0,0,0,21,16432741666,,4.3796152443522e-07,-0.21611960603275,6.5059662185396e-06,5.4040992758106e-06,49484.66796875,7.9726684513541e-06,853,0.000240213495840091,5.63060726964157e-05,5.36122318523067e-07,1.68714650824488e-06,2.74033723956901e-06,9872.0,1.59444746963381e-06,164.0,5.60641919059949e-06,6.45960390729093e-06,7.13604631798762e-06,6.45984675271537e-06,846.0,1.37163124141745e-05,4.366890239646e-07,1.59444746963381e-06,2.83100085272334e-06,1.59492065541369e-06,164.0,1.19872890690379e-05,0.000261917353258317,7.69710369740665e-06,7.69508781210468e-06,0.00156504988128448,2.0,1.37163124141745e-05,0.0731916500053004,0.000116523041510714,14112.0,0.000239745781380757,5.99127455981349e-06,5.98002080368553e-06,0.00137968065216074,2.0,4.79491562761514e-06,0.196219759678358,0.000284817519352285,35097.943624704,26552.765180072,-0.00058000000097085,-0.00058000000097085,0.0003,-9.7084945471911e-13,0.00030000000097085,0.00030000000097085,0.00058000000097085,0.00028,0.0,0.0,0,-1.0023309587775e-13,0.0,0,1,1,1,3.0,3.0,eyelid_1p60mm_indent_0p28mm/attempt_1/eyelid_1p60mm_indent_0p28mm.rst,eyelid_1p60mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a,false
eyelid_1p80mm_indent_0p28mm,thickness-custom,0.0,0.28,1.8,0.6,0.2,0.0,1.0,0.75,0.076,0.01,1e-07,0.0825,0.018750000000000003,1e-07,complete,,1,1,4,0,2026-08-08T02:01:00+00:00,2026-08-08T04:49:00+00:00,10078.517,43200.0,0,0,21,18032523442,,8.0777080462719e-07,-0.24277527718821,7.0298338746833e-06,-1.9823119693819e-06,52261.841145833,8.6100808402989e-06,930,0.000228132960790852,5.86632372203306e-05,2.8497697474915e-07,1.10879819629914e-06,2.38095537179994e-06,9872.0,1.07137731712185e-06,124.0,5.99349014555632e-06,6.90232283971658e-06,7.49950718620965e-06,6.90261220697667e-06,912.0,1.30313897899117e-05,2.8497697474915e-07,1.07137731712185e-06,2.33867168826326e-06,1.07167183984181e-06,124.0,1.13719259950759e-05,0.000260627795798233,8.06326899394266e-06,8.06140463170415e-06,0.00160187306436664,2.0,1.23727321817984e-05,0.0728114547749772,0.000118645562094997,14700.0,0.000227438519901519,5.6444488187714e-06,5.63288758007414e-06,0.00133902184482524,2.0,4.54877039803038e-06,0.164752370160815,0.000229959530423679,32871.144748359,27463.346510696,-0.00058000000094309,-0.00058000000094309,0.0003,-9.430888722889e-13,0.00030000000094309,0.00030000000094309,0.00058000000094309,0.00028,0.0,0.0,0,-1.4710750931926e-13,0.0,0,1,1,1,3.0,3.0,eyelid_1p80mm_indent_0p28mm/attempt_1/eyelid_1p80mm_indent_0p28mm.rst,eyelid_1p80mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a,false
eyelid_2p00mm_indent_0p28mm,thickness-custom,0.0,0.28,2.0,0.6,0.2,0.0,1.0,0.75,0.076,0.01,1e-07,0.0825,0.018750000000000003,1e-07,complete,,1,1,4,0,2026-08-08T04:49:00+00:00,2026-08-08T08:31:41+00:00,13359.354,43200.0,0,0,21,19656706594,,6.3788702825022e-07,-0.2683589162366,7.2896091746211e-06,1.4687944599921e-06,54321.96484375,8.955617583221e-06,962,0.000216313007448158,6.08594280263177e-05,2.03224277299751e-07,8.83496402676614e-07,1.94681807872242e-06,9872.0,8.66298113943601e-07,100.0,6.34928662860912e-06,7.25214037201081e-06,8.01144175612366e-06,7.2524137483234e-06,956.0,1.29857976452952e-05,2.03224277299751e-07,8.66298113943601e-07,1.94681807872242e-06,8.66532010135664e-07,100.0,1.07674708028821e-05,0.000259715952905903,8.44738731588335e-06,8.44569421006888e-06,0.00163961395997252,2.0,1.06343639981904e-05,0.0822336667745734,0.000137550766223741,15500.0,0.000215349416057642,5.61260698552199e-06,5.5993251948626e-06,0.00133504705910844,2.0,4.30698832115284e-06,0.180001035033003,0.000251550425023295,30718.09220931,26360.598970683,-0.00058000000091434,-0.00058000000091434,0.0003,-9.1434199003927e-13,0.00030000000091434,0.00030000000091434,0.00058000000091434,0.00028,0.0,0.0,0,-2.963945543119e-13,0.0,0,1,1,1,3.0,3.0,eyelid_2p00mm_indent_0p28mm/attempt_1/eyelid_2p00mm_indent_0p28mm.rst,eyelid_2p00mm_indent_0p28mm/attempt_1,cef09f91ca328cc39488b55047afaf9e078a980a,false
