  0.00000000000000E+00,  0.10000000000000E+01,  0.10000000000000E+01, -0.70479500988567E-03,  0.00000000000000E+00,  0.00000000000000E+00,  0.80000000000000E+01,  0.33166420010389E-06,  0.22139245402018E+04
  0.25000000000000E-05,  0.10075757575758E+01,  0.00000000000000E+00, -0.13150696888743E-02, -0.25000000000000E-05, -0.25000000000000E-05,  0.20000000000000E+02,  0.59279100959917E-06,  0.38749919834330E+04
  0.50000000000000E-05,  0.10151515151515E+01,  0.00000000000000E+00, -0.19253443678629E-02, -0.50000000000000E-05, -0.50000000000000E-05,  0.20000000000000E+02,  0.59272303595898E-06,  0.55389081870956E+04
  0.75000000000000E-05,  0.10227272727273E+01,  0.00000000000000E+00, -0.25356190468514E-02, -0.75000000000000E-05, -0.75000000000000E-05,  0.20000000000000E+02,  0.59265506231880E-06,  0.72119941369259E+04
  0.10000000000000E-04,  0.10303030303030E+01,  0.00000000000000E+00, -0.32723166931168E-02, -0.10000000000000E-04, -0.10000000000000E-04,  0.32000000000000E+02,  0.83015414523746E-06,  0.85542067550505E+04
  0.12500000000000E-04,  0.10378787878788E+01,  0.00000000000000E+00, -0.40631956110721E-02, -0.12500000000000E-04, -0.12500000000000E-04,  0.32000000000000E+02,  0.82998929017184E-06,  0.97546165167298E+04
  0.15000000000000E-04,  0.10454545454545E+01,  0.00000000000000E+00, -0.48540745290274E-02, -0.15000000000000E-04, -0.15000000000000E-04,  0.32000000000000E+02,  0.82982443510621E-06,  0.10955026278409E+05
  0.17500000000000E-04,  0.10530303030303E+01,  0.00000000000000E+00, -0.57067946241563E-02, -0.17500000000000E-04, -0.17500000000000E-04,  0.52000000000000E+02,  0.13171620335079E-05,  0.12020644347117E+05
  0.20000000000000E-04,  0.10606060606061E+01,  0.00000000000000E+00, -0.66522764850456E-02, -0.20000000000000E-04, -0.20000000000000E-04,  0.52000000000000E+02,  0.13167696014727E-05,  0.12884074876368E+05
  0.22500000000000E-04,  0.10681818181818E+01,  0.00000000000000E+00, -0.75977583459349E-02, -0.22500000000000E-04, -0.22500000000000E-04,  0.52000000000000E+02,  0.13163771694375E-05,  0.13747883917298E+05
  0.25000000000000E-04,  0.10757575757576E+01,  0.00000000000000E+00, -0.85432402068243E-02, -0.25000000000000E-04, -0.25000000000000E-04,  0.52000000000000E+02,  0.13159847374022E-05,  0.14616894794297E+05
  0.27500000000000E-04,  0.10833333333333E+01,  0.00000000000000E+00, -0.94887220677136E-02, -0.27500000000000E-04, -0.27500000000000E-04,  0.52000000000000E+02,  0.13155923053670E-05,  0.15485905671296E+05
  0.30000000000000E-04,  0.10909090909091E+01,  0.00000000000000E+00, -0.10499032835850E-01, -0.30000000000000E-04, -0.30000000000000E-04,  0.70000000000000E+02,  0.15848563081025E-05,  0.16260165334991E+05
  0.32500000000000E-04,  0.10984848484848E+01,  0.00000000000000E+00, -0.11588578935067E-01, -0.32500000000000E-04, -0.32500000000000E-04,  0.71000000000000E+02,  0.15986163245852E-05,  0.16918617960201E+05
  0.35000000000000E-04,  0.11060606060606E+01,  0.00000000000000E+00, -0.12678125034284E-01, -0.35000000000000E-04, -0.35000000000000E-04,  0.71000000000000E+02,  0.15980799453240E-05,  0.17577070585411E+05
  0.37500000000000E-04,  0.11136363636364E+01,  0.00000000000000E+00, -0.13767671133501E-01, -0.37500000000000E-04, -0.37500000000000E-04,  0.71000000000000E+02,  0.15975435660627E-05,  0.18235523210622E+05
  0.40000000000000E-04,  0.11212121212121E+01,  0.00000000000000E+00, -0.14857217232718E-01, -0.40000000000000E-04, -0.40000000000000E-04,  0.71000000000000E+02,  0.15970071868015E-05,  0.18893975835832E+05
  0.42500000000000E-04,  0.11287878787879E+01,  0.00000000000000E+00, -0.15946763331935E-01, -0.42500000000000E-04, -0.42500000000000E-04,  0.71000000000000E+02,  0.15964708075402E-05,  0.19552428461043E+05
  0.45000000000000E-04,  0.11363636363636E+01,  0.00000000000000E+00, -0.17036309431151E-01, -0.45000000000000E-04, -0.45000000000000E-04,  0.71000000000000E+02,  0.15959344282790E-05,  0.20210881086253E+05
  0.47500000000000E-04,  0.11439393939394E+01,  0.00000000000000E+00, -0.18130215785327E-01, -0.47500000000000E-04, -0.47500000000000E-04,  0.10000000000000E+03,  0.21966879019809E-05,  0.20864930390420E+05
  0.50000000000000E-04,  0.11515151515152E+01,  0.00000000000000E+00, -0.19394172082871E-01, -0.50000000000000E-04, -0.50000000000000E-04,  0.10000000000000E+03,  0.21958423810860E-05,  0.21347250173903E+05
  0.52500000000000E-04,  0.11590909090909E+01,  0.00000000000000E+00, -0.20658128380416E-01, -0.52500000000000E-04, -0.52500000000000E-04,  0.10000000000000E+03,  0.21949968601912E-05,  0.21829569957386E+05
  0.55000000000000E-04,  0.11666666666667E+01,  0.00000000000000E+00, -0.21922084677960E-01, -0.55000000000000E-04, -0.55000000000000E-04,  0.10000000000000E+03,  0.21941513392963E-05,  0.22311889740869E+05
  0.57500000000000E-04,  0.11742424242424E+01,  0.00000000000000E+00, -0.23186040975505E-01, -0.57500000000000E-04, -0.57500000000000E-04,  0.10000000000000E+03,  0.21933058184015E-05,  0.22794209524352E+05
  0.60000000000000E-04,  0.11818181818182E+01,  0.00000000000000E+00, -0.24449997273050E-01, -0.60000000000000E-04, -0.60000000000000E-04,  0.10000000000000E+03,  0.21924602975066E-05,  0.23276529307835E+05
  0.62500000000000E-04,  0.11893939393939E+01,  0.00000000000000E+00, -0.25713953570594E-01, -0.62500000000000E-04, -0.62500000000000E-04,  0.10000000000000E+03,  0.21916147766118E-05,  0.23758849091318E+05
  0.65000000000000E-04,  0.11969696969697E+01,  0.00000000000000E+00, -0.26977909868139E-01, -0.65000000000000E-04, -0.65000000000000E-04,  0.10000000000000E+03,  0.21907692557169E-05,  0.24241168874801E+05
  0.67500000000000E-04,  0.12045454545455E+01,  0.00000000000000E+00, -0.28241866165684E-01, -0.67500000000000E-04, -0.67500000000000E-04,  0.10000000000000E+03,  0.21899237348221E-05,  0.24723488658284E+05
  0.70000000000000E-04,  0.12121212121212E+01,  0.00000000000000E+00, -0.29505822463228E-01, -0.70000000000000E-04, -0.70000000000000E-04,  0.10000000000000E+03,  0.21890782139272E-05,  0.25205808441767E+05
  0.72500000000000E-04,  0.12196969696970E+01,  0.00000000000000E+00, -0.30769778760773E-01, -0.72500000000000E-04, -0.72500000000000E-04,  0.10000000000000E+03,  0.21882326930324E-05,  0.25688128225250E+05
  0.75000000000000E-04,  0.12272727272727E+01,  0.00000000000000E+00, -0.32033735058318E-01, -0.75000000000000E-04, -0.75000000000000E-04,  0.10000000000000E+03,  0.21873871721375E-05,  0.26170448008733E+05
  0.77500000000000E-04,  0.12348484848485E+01,  0.00000000000000E+00, -0.33438699514872E-01, -0.77500000000000E-04, -0.77500000000000E-04,  0.14700000000000E+03,  0.30805931443506E-05,  0.26544311324919E+05
  0.80000000000000E-04,  0.12424242424242E+01,  0.00000000000000E+00, -0.34861538245103E-01, -0.80000000000000E-04, -0.80000000000000E-04,  0.14700000000000E+03,  0.30792866391435E-05,  0.26904426638208E+05
  0.82500000000000E-04,  0.12500000000000E+01,  0.00000000000000E+00, -0.36284376975334E-01, -0.82500000000000E-04, -0.82500000000000E-04,  0.14700000000000E+03,  0.30779801339365E-05,  0.27264541951497E+05
  0.85000000000000E-04,  0.12575757575758E+01,  0.00000000000000E+00, -0.37707215705566E-01, -0.85000000000000E-04, -0.85000000000000E-04,  0.14700000000000E+03,  0.30766736287294E-05,  0.27624657264787E+05
  0.87500000000000E-04,  0.12651515151515E+01,  0.00000000000000E+00, -0.39130054435797E-01, -0.87500000000000E-04, -0.87500000000000E-04,  0.14700000000000E+03,  0.30753671235223E-05,  0.27984772578076E+05
  0.90000000000000E-04,  0.12727272727273E+01,  0.00000000000000E+00, -0.40552893166029E-01, -0.90000000000000E-04, -0.90000000000000E-04,  0.14700000000000E+03,  0.30740606183153E-05,  0.28344887891365E+05
  0.92500000000000E-04,  0.12803030303030E+01,  0.00000000000000E+00, -0.41975731896260E-01, -0.92500000000000E-04, -0.92500000000000E-04,  0.14700000000000E+03,  0.30727541131082E-05,  0.28705003204654E+05
  0.95000000000000E-04,  0.12878787878788E+01,  0.00000000000000E+00, -0.43398570626491E-01, -0.95000000000000E-04, -0.95000000000000E-04,  0.14700000000000E+03,  0.30714476079012E-05,  0.29065118517943E+05
  0.97500000000000E-04,  0.12954545454545E+01,  0.00000000000000E+00, -0.44821409356723E-01, -0.97500000000000E-04, -0.97500000000000E-04,  0.14700000000000E+03,  0.30701411026941E-05,  0.29425233831232E+05
  0.10000000000000E-03,  0.13030303030303E+01,  0.00000000000000E+00, -0.46244248086954E-01, -0.10000000000000E-03, -0.10000000000000E-03,  0.14700000000000E+03,  0.30688345974871E-05,  0.29785349144521E+05
  0.10250000000000E-03,  0.13106060606061E+01,  0.00000000000000E+00, -0.47667086817185E-01, -0.10250000000000E-03, -0.10250000000000E-03,  0.14700000000000E+03,  0.30675280922800E-05,  0.30145464457811E+05
  0.10500000000000E-03,  0.13181818181818E+01,  0.00000000000000E+00, -0.49089925547417E-01, -0.10500000000000E-03, -0.10500000000000E-03,  0.14700000000000E+03,  0.30662215870730E-05,  0.30505579771100E+05
  0.10750000000000E-03,  0.13257575757576E+01,  0.00000000000000E+00, -0.50512764277648E-01, -0.10750000000000E-03, -0.10750000000000E-03,  0.14700000000000E+03,  0.30649150818659E-05,  0.30865695084389E+05
  0.11000000000000E-03,  0.13333333333333E+01,  0.00000000000000E+00, -0.52025731278221E-01, -0.11000000000000E-03, -0.11000000000000E-03,  0.18700000000000E+03,  0.36422140318598E-05,  0.31168735914442E+05
  0.11250000000000E-03,  0.13409090909091E+01,  0.00000000000000E+00, -0.53579665674403E-01, -0.11250000000000E-03, -0.11250000000000E-03,  0.18700000000000E+03,  0.36405923584582E-05,  0.31445833797570E+05
  0.11500000000000E-03,  0.13484848484848E+01,  0.00000000000000E+00, -0.55133600070586E-01, -0.11500000000000E-03, -0.11500000000000E-03,  0.18700000000000E+03,  0.36389706850566E-05,  0.31722931680699E+05
  0.11750000000000E-03,  0.13560606060606E+01,  0.00000000000000E+00, -0.56687534466768E-01, -0.11750000000000E-03, -0.11750000000000E-03,  0.18700000000000E+03,  0.36373490116549E-05,  0.32000029563827E+05
  0.12000000000000E-03,  0.13636363636364E+01,  0.00000000000000E+00, -0.58241468862950E-01, -0.12000000000000E-03, -0.12000000000000E-03,  0.18700000000000E+03,  0.36357273382533E-05,  0.32277127446955E+05
  0.12250000000000E-03,  0.13712121212121E+01,  0.00000000000000E+00, -0.59795403259133E-01, -0.12250000000000E-03, -0.12250000000000E-03,  0.18700000000000E+03,  0.36341056648517E-05,  0.32554225330083E+05
