case,eyelid_thickness_mm,indent_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,outer_pressure_baseline_pa,outer_pressure_noise_pa,outer_pressure_threshold_pa,outer_pressure_support_area_mm2,outer_pressure_effective_area_mm2,outer_incremental_force_n,outer_selected_faces,inner_pressure_baseline_pa,inner_pressure_noise_pa,inner_pressure_threshold_pa,inner_pressure_support_area_mm2,inner_pressure_effective_area_mm2,inner_incremental_force_n,inner_selected_faces,outer_conservative_area_mm2,pressure_effective_ratio,pressure_support_ratio,current_hybrid_ratio,effective_ratio_change_percent,probe_area_mm2,status,image
eyelid_0p80mm_effective_indent_0p28mm,0.8,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,5.06004567546587,4.639850040286246,0.12067526119572984,322,396.6335645155,191.11324088851072,573.3397226655321,6.926340074608322,5.026643828301846,0.03963233725534452,403,13.110659070047902,0.9230512840719272,0.7305511454766406,2.6082331507615657,-64.61009308916998,14.657414684588538,diagnostic_not_approved,eyelid_0p80mm_effective_indent_0p28mm_mechanical_area.png
eyelid_1p00mm_effective_indent_0p28mm,1.0,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,5.431369710882487,4.910421262845958,0.14435957118010162,330,411.71435779995,226.9238553918411,680.7715661755233,6.873301060563935,5.029147128411317,0.03605833101599544,400,13.102679647650627,0.9763924453721711,0.7902126886373952,2.60534824555624,-62.52353415565327,14.657414684588538,diagnostic_not_approved,eyelid_1p00mm_effective_indent_0p28mm_mechanical_area.png
eyelid_1p20mm_effective_indent_0p28mm,1.2,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,5.678633462400606,5.153498324850114,0.17039370877624513,354,407.32190148714994,255.7471383955049,767.2414151865147,6.891026790734655,5.1229875750675005,0.03287026539875156,400,13.125754027595395,1.0059556556278026,0.8240620207769074,2.5621288038010612,-60.73750647760521,14.657414684588538,diagnostic_not_approved,eyelid_1p20mm_effective_indent_0p28mm_mechanical_area.png
eyelid_1p25mm_effective_indent_0p28mm,1.25,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,5.7471215927545565,5.228468245169569,0.1766213606763357,354,400.54260467255017,261.3007422797995,783.9022268393985,6.976325303825711,5.187853876171895,0.03229874798512408,403,12.943976304829622,1.007828741897342,0.8238035559498526,2.495054142577538,-59.60693899587304,14.657414684588538,diagnostic_not_approved,eyelid_1p25mm_effective_indent_0p28mm_mechanical_area.png
eyelid_1p40mm_effective_indent_0p28mm,1.4,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,6.0079842837038235,5.494471695750413,0.1956790489018207,359,389.16270728309996,274.39870518889165,823.196115566675,7.115986586643644,5.37921777294064,0.030534883547803225,410,13.137146216170427,1.0214257774410138,0.8442939303708797,2.442203824179586,-58.17606346660508,14.657414684588538,diagnostic_not_approved,eyelid_1p40mm_effective_indent_0p28mm_mechanical_area.png
eyelid_1p50mm_effective_indent_0p28mm,1.5,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,6.053497126456682,5.574380188690818,0.20662846473289143,375,383.87174317485005,279.45218371674423,838.3565511502327,7.115955187861303,5.473724645061185,0.029200523894718066,410,13.166005279019537,1.0183888577077864,0.8506935424190125,2.405310119298551,-57.660808494632946,14.657414684588538,diagnostic_not_approved,eyelid_1p50mm_effective_indent_0p28mm_mechanical_area.png
eyelid_1p60mm_effective_indent_0p28mm,1.6,0.28,1.2,1.6,3.0,0.0,0.0,3.0000000000000004e-09,6.355325434357206,5.844648120827325,0.2241903154387429,384,387.7633134217001,285.50840437256164,856.5252131176849,7.391683462294985,5.685739180534934,0.028642840201534413,426,13.058885448767755,1.0279486862212066,0.8597940464815294,2.2967788416103763,-55.243897775527,14.657414684588538,diagnostic_not_approved,eyelid_1p60mm_effective_indent_0p28mm_mechanical_area.png
