case,eyelid_thickness_mm,indent_mm,angle_deg,outer_flat_area_mm2,outer_coverage_fraction,outer_selected_faces,inner_flat_area_mm2,inner_selected_faces,ae_over_ac,image,multiview_image
eyelid_0p80mm_indent_0p28mm,0.8,0.28,10.0,14.485787875477978,0.9882907857351532,865,13.75216088501726,713,1.0533463065619013,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_0p80mm_indent_0p28mm_flat_region_10deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_0p80mm_indent_0p28mm_flat_region_10deg_multiview.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,10.0,14.32923336461706,0.9776098768416137,826,13.522293326927356,701,1.0596747917073224,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p00mm_indent_0p28mm_flat_region_10deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p00mm_indent_0p28mm_flat_region_10deg_multiview.png
eyelid_1p20mm_indent_0p28mm,1.2,0.28,10.0,14.431252175502001,0.9845700954804578,855,13.23189944504597,689,1.0906410100407065,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p20mm_indent_0p28mm_flat_region_10deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p20mm_indent_0p28mm_flat_region_10deg_multiview.png
eyelid_1p25mm_indent_0p28mm,1.25,0.28,10.0,14.420088558083311,0.9838084592943418,847,13.049451489743827,681,1.1050340751422947,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p25mm_indent_0p28mm_flat_region_10deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p25mm_indent_0p28mm_flat_region_10deg_multiview.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,10.0,14.461024864381596,0.986601332879431,832,12.667563937978628,665,1.1415789914449133,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p40mm_indent_0p28mm_flat_region_10deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p40mm_indent_0p28mm_flat_region_10deg_multiview.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,10.0,14.535597187820889,0.9916890188761779,874,12.534071106416757,660,1.1596868299541927,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p50mm_indent_0p28mm_flat_region_10deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p50mm_indent_0p28mm_flat_region_10deg_multiview.png
eyelid_1p60mm_indent_0p28mm,1.6,0.28,10.0,14.595224026910305,0.9957570513616141,868,12.286934626298546,647,1.187865360304854,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p60mm_indent_0p28mm_flat_region_10deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/figures/flat_region_10deg/eyelid_1p60mm_indent_0p28mm_flat_region_10deg_multiview.png
