case,eyelid_thickness_mm,indent_mm,outer_baseline_um,outer_noise_sigma_um,outer_threshold_um,outer_local_max_um,outer_support_area_mm2,outer_coverage_fraction,outer_selected_faces,inner_baseline_um,inner_noise_sigma_um,inner_threshold_um,inner_local_max_um,inner_support_area_mm2,inner_coverage_fraction,inner_selected_faces,image
eyelid_0p80mm_indent_0p28mm,0.8,0.28,5.506939017066752,5.296067946092818,15.888203838278455,320.21384592179317,14.657414684588538,1.0,933,0.2624030152999571,1.5247259818124277,4.574177945437284,346.646963833389,14.657414684588538,1.0,808,eyelid_0p80mm_indent_0p28mm_displacement_support.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,7.077309839000025,6.16512819015781,18.49538457047343,314.9163321056898,14.657414684588538,1.0,897,0.5919709116669093,1.7009683809808303,5.1029051429424905,332.7205794171184,14.65680579379694,0.9999584585136806,808,eyelid_1p00mm_indent_0p28mm_displacement_support.png
eyelid_1p20mm_indent_0p28mm,1.2,0.28,8.276679152933314,6.079788199997848,18.239364599993543,310.4886684354902,14.657414684588538,1.0,930,0.6131838471662259,0.9591397422592259,2.8774192267776777,317.1144490091868,14.657414684588538,1.0,808,eyelid_1p20mm_indent_0p28mm_displacement_support.png
eyelid_1p25mm_indent_0p28mm,1.25,0.28,8.595972271766916,6.395146423078705,19.185439269236113,308.80916739193947,14.657414684588538,1.0,912,0.9027207493665472,1.3085093887997605,3.925528166399282,312.1995211187848,14.657414684588538,1.0,808,eyelid_1p25mm_indent_0p28mm_displacement_support.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,9.181672951433109,5.771914434480336,17.315743303441007,303.13085862373373,14.657414684588538,1.0,890,0.9424072051000213,0.7986483243809082,2.3959449731427247,297.4895745174273,14.657185695056354,0.999984377222238,808,eyelid_1p40mm_indent_0p28mm_displacement_support.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,9.45058845176663,5.45564674825499,16.366940244764972,299.8773412388665,14.657414684588538,1.0,937,1.1730301653005253,0.791764626864783,2.375293880594349,287.97572896042215,14.657414684588538,1.0,808,eyelid_1p50mm_indent_0p28mm_displacement_support.png
eyelid_1p60mm_indent_0p28mm,1.6,0.28,9.521953928776755,4.9336784453832765,14.801035336149832,296.6207137572232,14.657167716739835,0.9999831506541899,906,1.5246815031999366,0.904745963616435,2.714237890849305,278.27559516977544,14.657414684588538,1.0,808,eyelid_1p60mm_indent_0p28mm_displacement_support.png
