eyelid_thickness_mm,ae_over_ac_2deg_indent_0p26,ae_over_ac_2deg_indent_0p80,difference_0p26_minus_0p80,ratio_0p26_to_0p80
0.8,1.360763620048399,1.5229955898660408,-0.16223196981764176,0.8934783719026321
1.0,1.6122534805576056,1.5785092279056419,0.03374425265196379,1.021377291976136
1.2,2.519583858885006,1.4500339735390138,1.0695498853459924,1.7376033285176098
1.4,3.5279730507008584,1.3170878116977096,2.210885239003149,2.6786164288874144
1.6,4.2904446987092255,1.1736788907386755,3.11676580797055,3.6555524109400643
1.8,6.804746191772416,0.8290639260397005,5.975682265732716,8.207746083317783
2.0,9.079865105516008,0.8806321651990088,8.199232940317,10.310621692388562
