eyelid_thickness_mm,indent_mm,probe_force_n,contact_area_mm2,contact_fill_fraction,outer_surface_area_mm2,outer_equivalent_diameter_mm,outer_breakpoint_method,pmax_kpa,max_penetration_mm
0.8,0.35,0.19936908775549,6.7809773032885,0.4626311971932078,8.70972549879839,3.329816990476561,segmented_fit,34.069483549231,0.0058176604174417
1.2,0.35,0.28086052881449,7.4910475682337,0.5110756384691852,8.836705475118679,3.3540672411505295,segmented_fit,46.323078799977,0.0082865940995325
2.0,0.35,0.43617175916307,8.9640567083115,0.6115714743157747,9.81999618972705,3.5358356098403156,segmented_fit,60.9373423426,0.013393951195105
0.8,0.45,0.265517451864,8.5961790807213,0.5864730763031291,10.0132928021215,3.570558991307884,segmented_fit,31.587254030715002,0.003967116877233
1.2,0.45,0.38176046207891,9.4819007793612,0.6469013112749613,10.3288450412261,3.62638972554945,segmented_fit,45.864034275429006,0.0060003199676028005
2.0,0.45,0.61299466394472,10.873873351570001,0.7418684389821677,10.231698135484098,3.6093195657782413,segmented_fit,65.710554180069,0.011551495713678
0.8,0.55,0.34031366360457,10.827831828256,0.738727262703488,11.196830483026801,3.775738179131452,segmented_fit,30.01255906408,0.0028345845863645
1.2,0.55,0.49501602241063,11.717287977573,0.7994102800334276,10.7751604741596,3.7039600414573703,segmented_fit,44.246100217332994,0.0043344344772199
2.0,0.55,0.80511531754752,13.815824141485999,0.9425826067411857,3.12372347266155,1.994303397654707,segmented_fit,69.051767961091,0.0091268973369992
0.8,0.65,0.42114851998999,13.07687763171,0.8921680878319976,14.6578796616335,4.320008115335296,probe_edge,35.354390973556995,0.002593503015954
1.2,0.65,0.6147799993869,13.470104336024999,0.9189959229432233,14.658493537314099,4.320008075053845,probe_edge,52.482769345150004,0.0039638643451846
2.0,0.65,1.0004738405018,13.776257859382,0.9398832028588897,14.6648123897904,4.319987787917596,probe_edge,98.404698443243,0.0090377925026392
0.8,0.7,0.46022719758866,13.700158624298,0.9346913435357027,14.6592307162513,4.320011336080624,probe_edge,54.062791733695,0.0035696770667067
1.2,0.7,0.6729224407143,13.708545296457,0.9352635230325288,14.6607581566827,4.320015632953246,probe_edge,77.233873420279,0.0051881344337166005
2.0,0.7,1.0983604563786,13.673953193989,0.932903481837517,14.6713859635741,4.320000050263217,probe_edge,120.52077306412001,0.0085591202638865
0.8,0.75,0.49880330502939,13.922285858154,0.9498459419854248,14.6617336740654,4.319984395434341,probe_edge,83.61871557636499,0.005147024309486
1.2,0.75,0.73055311051432,13.849177175581,0.9448581126753985,14.664726726051,4.319999345201627,probe_edge,109.52347235985,0.0066899926399462
2.0,0.75,1.1953813477729,13.78572938654,0.9405293964313455,14.679390747080799,4.319986696016691,probe_edge,144.92471341035,0.0085069969937148
0.8,0.8,0.53612892031255,13.84612550992,0.9446499132264051,14.6656747316402,4.320009213770937,probe_edge,107.83447005208,0.0062082196260841
1.2,0.8,0.7869998686086,13.802560665077,0.9416777079787221,14.6704254370522,4.319988762538103,probe_edge,138.75743229167,0.0074450902805741
2.0,0.8,1.2914921185577,13.833953611542,0.9438194872174583,14.689532499243299,4.320009785212467,probe_edge,184.7601171875,0.0093497477943553
