case,eyelid_thickness_mm,indent_mm,status,failure_reason,elapsed_seconds,returncode,ansys_error_count,image,source_case,source_attempt_dir,source_result_rst,source_result_time,target_result_time,git_commit
eyelid_0p80mm_indent_0p26mm,0.8,0.26,complete,,5.884,0,0,eyelid_0p80mm_indent_0p26mm/eyelid_0p80mm_indent_0p26mm007.png,eyelid_0p80mm_indent_0p80mm,eyelid_0p80mm_indent_0p80mm/attempt_1,eyelid_0p80mm_indent_0p80mm/attempt_1/eyelid_0p80mm_indent_0p80mm.rst,2.0,1.3647058823529412,6f1e503b05df12d5e4bf902e1cefadfb6e43d68c
eyelid_1p00mm_indent_0p26mm,1.0,0.26,complete,,5.889,0,0,eyelid_1p00mm_indent_0p26mm/eyelid_1p00mm_indent_0p26mm007.png,eyelid_1p00mm_indent_0p80mm,eyelid_1p00mm_indent_0p80mm/attempt_1,eyelid_1p00mm_indent_0p80mm/attempt_1/eyelid_1p00mm_indent_0p80mm.rst,2.0,1.3647058823529412,6f1e503b05df12d5e4bf902e1cefadfb6e43d68c
eyelid_1p20mm_indent_0p26mm,1.2,0.26,complete,,6.189,0,0,eyelid_1p20mm_indent_0p26mm/eyelid_1p20mm_indent_0p26mm007.png,eyelid_1p20mm_indent_0p80mm,eyelid_1p20mm_indent_0p80mm/attempt_1,eyelid_1p20mm_indent_0p80mm/attempt_1/eyelid_1p20mm_indent_0p80mm.rst,2.0,1.3647058823529412,6f1e503b05df12d5e4bf902e1cefadfb6e43d68c
eyelid_1p40mm_indent_0p26mm,1.4,0.26,complete,,6.994,0,0,eyelid_1p40mm_indent_0p26mm/eyelid_1p40mm_indent_0p26mm007.png,eyelid_1p40mm_indent_0p80mm,eyelid_1p40mm_indent_0p80mm/attempt_1,eyelid_1p40mm_indent_0p80mm/attempt_1/eyelid_1p40mm_indent_0p80mm.rst,2.0,1.3647058823529412,6f1e503b05df12d5e4bf902e1cefadfb6e43d68c
eyelid_1p60mm_indent_0p26mm,1.6,0.26,complete,,7.294,0,0,eyelid_1p60mm_indent_0p26mm/eyelid_1p60mm_indent_0p26mm007.png,eyelid_1p60mm_indent_0p80mm,eyelid_1p60mm_indent_0p80mm/attempt_1,eyelid_1p60mm_indent_0p80mm/attempt_1/eyelid_1p60mm_indent_0p80mm.rst,2.0,1.3647058823529412,6f1e503b05df12d5e4bf902e1cefadfb6e43d68c
eyelid_1p80mm_indent_0p26mm,1.8,0.26,complete,,6.56,0,0,eyelid_1p80mm_indent_0p26mm/eyelid_1p80mm_indent_0p26mm007.png,eyelid_1p80mm_indent_0p80mm,eyelid_1p80mm_indent_0p80mm/attempt_1,eyelid_1p80mm_indent_0p80mm/attempt_1/eyelid_1p80mm_indent_0p80mm.rst,2.0,1.3647058823529412,6f1e503b05df12d5e4bf902e1cefadfb6e43d68c
eyelid_2p00mm_indent_0p26mm,2.0,0.26,complete,,8.564,0,0,eyelid_2p00mm_indent_0p26mm/eyelid_2p00mm_indent_0p26mm007.png,eyelid_2p00mm_indent_0p80mm,eyelid_2p00mm_indent_0p80mm/attempt_1,eyelid_2p00mm_indent_0p80mm/attempt_1/eyelid_2p00mm_indent_0p80mm.rst,2.0,1.3647058823529412,6f1e503b05df12d5e4bf902e1cefadfb6e43d68c
