case,eyelid_thickness_mm,cornea_thickness_mm,indent_mm,mesh_size_mm,iop_mmhg,eyelid_material_scale,cornea_material_scale,probe_force_n,force_ratio_to_0p8,force_correction_to_0p8,probe_area_mm2,geometric_full_contact_indent_mm,gat_ae_radius_mm,gat_ae_area_mm2,gat_ae_fill_fraction,outer_contact_area_mm2,contact_fill_fraction,outer_area_mm2,outer_area_ratio_to_0p8,outer_surface_area_mm2,outer_projected_area_mm2,outer_equivalent_diameter_mm,outer_break_radius_mm,outer_breakpoint_method,outer_area_sensitivity_fraction,outer_diameter_sensitivity_mm,mean_outer_pressure_kpa,pmax_kpa,inner_max_downward_mm,inner_effect_area_mm2,inner_area_1deg_mm2,inner_area_2deg_mm2,inner_area_3deg_mm2,inner_area_smooth_2deg_mm2,inner_smooth_2deg_face_count,inner_surface_area_mm2,inner_projected_area_mm2,inner_equivalent_diameter_mm,inner_break_radius_mm,inner_breakpoint_method,inner_area_sensitivity_fraction,inner_diameter_sensitivity_mm,ae_over_ac_gat,ae_over_ac_gat_surface_diagnostic,ae_over_ac_surface,ae_over_ac_projected,probe_over_ac_surface,probe_over_ac_projected,breakpoint_qc,ae_over_ac_1deg,ae_over_ac_2deg,ae_over_ac_3deg,ae_over_ac_smooth_2deg,max_penetration_mm,cornea_peak_kpa,eyelid_peak_kpa,elapsed_seconds,git_commit
eyelid_0p80mm_indent_0p26mm,0.8,0.6,0.26,0.3,20.0,1.0,0.75,0.14603558404728,1.0,1.0,14.65741468458854,0.27567420147433275,2.0986662431172802,13.83683068347088,0.9440157750342932,5.1070749112881,0.348429448247644,5.1070749112881,1.0,7.26272662885857,7.25995461409167,3.0403390119596896,1.5201688145760102,segmented_fit,0.112988264558389,0.176642325276967,28.594760520253875,35.268197050207,0.32155819059702295,47.841176898855,2.66621090783658,4.0679287977651795,5.378311470916461,3.9730199684775895,227,6.4257433249318705,6.42168829935605,2.8594313222567904,1.42974424567352,segmented_fit,0.157665390175876,0.23475846661386,2.1547029439062624,2.153343198410059,1.1302547054251617,1.130536749162939,2.281045778426568,2.2824861627211566,warning_scale_sensitive,1.9154804656590685,1.25544845182487,0.9495684545056402,1.2854390241700864,0.0080455176874016,52.229640595785,29.564530021054,13.425,bf30a9930337f3e96e11dc6798a50ed160c097f2
eyelid_1p00mm_indent_0p26mm,1.0,0.6,0.26,0.3,20.0,1.0,0.75,0.17250201571355,1.1812327580221906,0.8465732034678418,14.65741468458854,0.26920871196581153,2.1232993194554557,14.163556319444226,0.96630658436214,5.5314159790362005,0.37738005631048827,5.5314159790362005,1.08308886693833,7.363792277057811,7.36103885884676,3.0614319795507283,1.53074340564214,segmented_fit,0.110831545714807,0.1743671697099,31.185869290489872,40.348977340398996,0.30808898396575796,50.5473715175997,1.70354925182522,3.10464903261656,4.3735492436772105,3.0319449318181,165,6.361875226426569,6.35583523328874,2.8447321066919926,1.4223766076526,segmented_fit,0.175376861210188,0.26102982884672,2.228433525976646,2.226317841099788,1.1574876926962323,1.158154449991601,2.303945639125892,2.3061350942233694,warning_scale_sensitive,3.2469950446749456,1.7816558074438422,1.264743042971999,1.8243787744915594,0.010331934076396,49.445923227681995,28.341297117409002,11.211,bf30a9930337f3e96e11dc6798a50ed160c097f2
eyelid_1p20mm_indent_0p26mm,1.2,0.6,0.26,0.3,20.0,1.0,0.75,0.19965323353696,1.3671546893140847,0.731446125165039,14.65741468458854,0.26304400835165076,2.1476498783554083,14.490281955417561,0.9885973936899862,5.689915561113,0.38819366740681976,5.689915561113,1.114124163038348,7.509313654562369,7.5068279565897,3.091599943371306,1.54576145445378,segmented_fit,0.078960521717835,0.124376431537895,35.088962462196186,44.655646268956,0.29308095646286597,52.882317078454996,1.12827811633616,2.57286704825312,3.88817417775919,2.52410850328932,128,6.23222908929212,6.224414884868031,2.8151680543534416,1.40759781623586,segmented_fit,0.167689236795687,0.24638050046711701,2.327974954022491,2.325056051022576,1.2049161779794757,1.2060294976222266,2.35187353907964,2.3548261090727896,warning_scale_sensitive,5.04300799486369,2.2115078060392737,1.4633900903051054,2.2542278011021013,0.010636277245207,46.811031516,27.543682231597,14.331,bf30a9930337f3e96e11dc6798a50ed160c097f2
eyelid_1p25mm_indent_0p26mm,1.25,0.6,0.26,0.3,20.0,1.0,0.75,0.20621099106569,1.412059892189891,0.708185258664313,14.65741468458854,0.26154734893565035,2.153694500155489,14.571963364410898,0.994170096021948,5.8066798960182,0.3961598972923651,5.8066798960182,1.13698741390767,7.56887860835214,7.566402048699881,3.1038431499948316,1.5519403079985001,segmented_fit,0.089132717199598,0.14134938738947,35.512718930329626,45.56477933517,0.288527106538806,54.1013464430447,0.814419320588849,2.33204064993647,3.7630476379911797,2.33008049538885,113,6.2230087786184605,6.21462374328335,2.8129530222878634,1.4064897603806998,segmented_fit,0.232363545795305,0.347737519415895,2.344786099103748,2.341626676548888,1.2162731690750515,1.217515711530808,2.3553581886224753,2.358536138318913,warning_scale_sensitive,7.129840549239181,2.489956552076563,1.543079029187621,2.4920512005956112,0.011043641091321998,46.048611264730006,27.506023462009,12.933,bf30a9930337f3e96e11dc6798a50ed160c097f2
eyelid_1p40mm_indent_0p26mm,1.4,0.6,0.26,0.3,20.0,1.0,0.75,0.22567242114911,1.5453248783258675,0.6471131177822964,14.65741468458854,0.2571592880114437,2.16,14.65741468458854,1.0,6.0757566458285,0.41451761968751705,6.0757566458285,1.189674471466893,7.806160203722239,7.803566069039549,3.152111817346377,1.57607814793502,segmented_fit,0.121671134335423,0.197713232862464,37.143097445163875,47.911607857497,0.274709433049733,55.5390521170172,0.709683617098812,2.05374914241422,3.0502814833214997,1.98882477641165,90,6.18115869563763,6.1710979219043995,2.803085069811772,1.40155080342681,segmented_fit,0.233539413872006,0.34831857375256703,2.3751713017811364,2.3713053500685963,1.2628959371697508,1.264534474706791,2.3713053500685963,2.3751713017811364,warning_scale_sensitive,8.561218688781636,2.958373308770484,1.9918675306032783,3.0549481874369664,0.012213952857110001,43.814228575382,27.029909735827,14.37,bf30a9930337f3e96e11dc6798a50ed160c097f2
eyelid_1p50mm_indent_0p26mm,1.5,0.6,0.26,0.3,20.0,1.0,0.75,0.23856726196691,1.6336241849772193,0.61213589343007,14.65741468458854,0.25431594626476084,2.16,14.65741468458854,1.0,6.1872819217554005,0.4221264155309043,6.1872819217554005,1.2115118789582924,7.736337279606279,7.73421227054642,3.1380734392674166,1.5690262980836198,segmented_fit,0.064268115150341,0.102370574443911,38.55768413074441,49.556817509668,0.265895459067965,56.8084728379238,0.590816001181824,1.70955750851562,2.88185121689495,1.72683281840779,77,6.12392600491481,6.11293081351326,2.7898432296448434,1.3949397224295699,segmented_fit,0.231046414681236,0.34266765083497097,2.397772055948486,2.39346698063058,1.2632969884674332,1.265221627152912,2.39346698063058,2.397772055948486,warning_scale_sensitive,10.472434580950459,3.619230058617749,2.1469817336447665,3.5830231252266365,0.01241702538528,42.42498034813,27.040733730671,14.503,bf30a9930337f3e96e11dc6798a50ed160c097f2
eyelid_1p60mm_indent_0p26mm,1.6,0.6,0.26,0.3,20.0,1.0,0.75,0.25096108047172,1.7184926681326493,0.581905304889442,14.65741468458854,0.2515356479898756,2.16,14.65741468458854,1.0,6.0346584625994,0.4117137020722017,6.0346584625994,1.1816271676887047,7.85721851445485,7.85512365191947,3.1625075592650136,1.58124029832026,segmented_fit,0.0620416789372406,0.099547854147829,41.58662532885411,51.000507640163,0.25704413076990096,58.2476185462966,0.5906764628765979,1.62090608731391,2.65360068706832,1.62090608731391,68,6.10530125041189,6.09315944459643,2.7853279083865,1.39266079375197,segmented_fit,0.243330108110042,0.361614780892793,2.4055524589278736,2.400768460622592,1.2869501752963899,1.2891708683063587,2.400768460622592,2.4055524589278736,warning_scale_sensitive,10.216520958378089,3.723015484875965,2.2741396216875605,3.723015484875965,0.01303116068009,40.977268418047004,26.971760200469998,13.33,bf30a9930337f3e96e11dc6798a50ed160c097f2
eyelid_1p80mm_indent_0p26mm,1.8,0.6,0.26,0.3,20.0,1.0,0.75,0.27485029986246,1.8820775885244199,0.5313277232018987,14.65741468458854,0.24615587044556264,2.16,14.65741468458854,1.0,6.4162721473661,0.43774924060192244,6.4162721473661,1.2563497224574283,8.18934586731713,8.187116017470949,3.228646755341728,1.6143267050099899,segmented_fit,0.105978129641813,0.175667632258805,42.836446701421,53.510137628291,0.240536771442071,59.5255955648594,0.48738327298147505,1.18632867248896,2.1978751157699503,1.25879455514438,50,5.95415509650395,5.94044460022742,2.750201625030066,1.37507078426057,segmented_fit,0.230130603106819,0.336242620030358,2.4673935489655783,2.4617119384738246,1.3754001591469456,1.3781992036686141,2.4617119384738246,2.4673935489655783,warning_scale_sensitive,13.164736056934757,5.408511398366974,2.919306971232703,5.097155942678964,0.013496340579432,38.21253671332,27.105523801175,13.97,bf30a9930337f3e96e11dc6798a50ed160c097f2
eyelid_2p00mm_indent_0p26mm,2.0,0.6,0.26,0.3,20.0,1.0,0.75,0.29688833631315,2.0329862632454727,0.4918872390232452,14.65741468458854,0.24100423684579653,2.16,14.65741468458854,1.0,6.786954599380399,0.4630389973558234,6.786954599380399,1.3289318675117303,8.4918546984484,8.48960166176303,3.287749466550948,1.64388304070643,segmented_fit,0.108216733096335,0.18278180505619201,43.74396969448622,54.692767798328,0.224969591176607,62.3654852182399,0.43481569305116397,0.8222014971542839,1.949868076523,0.919899394179369,32,5.51835544089968,5.504933469794181,2.647470299149379,1.32374011004878,segmented_fit,0.192473105367994,0.267655153187087,2.662596153979778,2.65612007808596,1.538837936300808,1.5421806109639398,2.65612007808596,2.662596153979778,warning_scale_sensitive,15.608807841675095,8.254612309598903,3.480725019860256,7.377931371978953,0.014102640420788,35.538584758675,27.175388108014,24.367,bf30a9930337f3e96e11dc6798a50ed160c097f2
