  0.00000000000000E+00,  0.10588235294118E+01,  0.00000000000000E+00, -0.19767961077710E-01, -0.50000000000000E-04, -0.50000000000000E-04
  0.25000000000000E-04,  0.10882352941176E+01,  0.00000000000000E+00, -0.30297601519122E-01, -0.75000000000000E-04, -0.75000000000000E-04
  0.50000000000000E-04,  0.11176470588235E+01,  0.00000000000000E+00, -0.42071722184284E-01, -0.10000000000000E-03, -0.10000000000000E-03
  0.75000000000000E-04,  0.11470588235294E+01,  0.00000000000000E+00, -0.54014395112074E-01, -0.12500000000000E-03, -0.12500000000000E-03
  0.10000000000000E-03,  0.11764705882353E+01,  0.00000000000000E+00, -0.67286758111718E-01, -0.15000000000000E-03, -0.15000000000000E-03
  0.12500000000000E-03,  0.12058823529412E+01,  0.00000000000000E+00, -0.80559121111362E-01, -0.17500000000000E-03, -0.17500000000000E-03
  0.15000000000000E-03,  0.12352941176471E+01,  0.00000000000000E+00, -0.94237081312195E-01, -0.20000000000000E-03, -0.20000000000000E-03
  0.17500000000000E-03,  0.12647058823529E+01,  0.00000000000000E+00, -0.10917343282954E+00, -0.22500000000000E-03, -0.22500000000000E-03
  0.20000000000000E-03,  0.12941176470588E+01,  0.00000000000000E+00, -0.12410978434688E+00, -0.25000000000000E-03, -0.25000000000000E-03
  0.22500000000000E-03,  0.13235294117647E+01,  0.00000000000000E+00, -0.13904613586423E+00, -0.27500000000000E-03, -0.27500000000000E-03
  0.25000000000000E-03,  0.13529411764706E+01,  0.00000000000000E+00, -0.15537516786770E+00, -0.30000000000000E-03, -0.30000000000000E-03
  0.27500000000000E-03,  0.13823529411765E+01,  0.00000000000000E+00, -0.17196210366491E+00, -0.32500000000000E-03, -0.32500000000000E-03
  0.30000000000000E-03,  0.14117647058824E+01,  0.00000000000000E+00, -0.18854903946211E+00, -0.35000000000000E-03, -0.35000000000000E-03
  0.32500000000000E-03,  0.14411764705882E+01,  0.00000000000000E+00, -0.20589411817874E+00, -0.37500000000000E-03, -0.37500000000000E-03
  0.35000000000000E-03,  0.14705882352941E+01,  0.00000000000000E+00, -0.22418954506196E+00, -0.40000000000000E-03, -0.40000000000000E-03
  0.37500000000000E-03,  0.15000000000000E+01,  0.00000000000000E+00, -0.24248497194519E+00, -0.42500000000000E-03, -0.42500000000000E-03
  0.40000000000000E-03,  0.15294117647059E+01,  0.00000000000000E+00, -0.26086511127263E+00, -0.45000000000000E-03, -0.45000000000000E-03
  0.42500000000000E-03,  0.15588235294118E+01,  0.00000000000000E+00, -0.28109682259527E+00, -0.47500000000000E-03, -0.47500000000000E-03
  0.45000000000000E-03,  0.15882352941176E+01,  0.00000000000000E+00, -0.30132853391790E+00, -0.50000000000000E-03, -0.50000000000000E-03
  0.47500000000000E-03,  0.16176470588235E+01,  0.00000000000000E+00, -0.32156024524053E+00, -0.52500000000000E-03, -0.52500000000000E-03
  0.50000000000000E-03,  0.16470588235294E+01,  0.00000000000000E+00, -0.34323756650323E+00, -0.55000000000000E-03, -0.55000000000000E-03
  0.52500000000000E-03,  0.16764705882353E+01,  0.00000000000000E+00, -0.36571488549974E+00, -0.57500000000000E-03, -0.57500000000000E-03
  0.55000000000000E-03,  0.17058823529412E+01,  0.00000000000000E+00, -0.38819220449626E+00, -0.60000000000000E-03, -0.60000000000000E-03
  0.57500000000000E-03,  0.17352941176471E+01,  0.00000000000000E+00, -0.41092674130116E+00, -0.62500000000000E-03, -0.62500000000000E-03
  0.60000000000000E-03,  0.17647058823529E+01,  0.00000000000000E+00, -0.43445931284492E+00, -0.65000000000000E-03, -0.65000000000000E-03
  0.62500000000000E-03,  0.17941176470588E+01,  0.00000000000000E+00, -0.45799188438868E+00, -0.67500000000000E-03, -0.67500000000000E-03
  0.65000000000000E-03,  0.18235294117647E+01,  0.00000000000000E+00, -0.48152445593244E+00, -0.70000000000000E-03, -0.70000000000000E-03
  0.67500000000000E-03,  0.18529411764706E+01,  0.00000000000000E+00, -0.50422500654405E+00, -0.72500000000000E-03, -0.72500000000000E-03
  0.70000000000000E-03,  0.18823529411765E+01,  0.00000000000000E+00, -0.52677147920526E+00, -0.75000000000000E-03, -0.75000000000000E-03
  0.72500000000000E-03,  0.19117647058824E+01,  0.00000000000000E+00, -0.54931795186647E+00, -0.77500000000000E-03, -0.77500000000000E-03
  0.75000000000000E-03,  0.19411764705882E+01,  0.00000000000000E+00, -0.57109124493390E+00, -0.80000000000000E-03, -0.80000000000000E-03
  0.77500000000000E-03,  0.19705882352941E+01,  0.00000000000000E+00, -0.59189534104575E+00, -0.82500000000000E-03, -0.82500000000000E-03
  0.80000000000000E-03,  0.20000000000000E+01,  0.20000000000000E+01, -0.61269943715760E+00, -0.85000000000000E-03, -0.85000000000000E-03
