case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,outer_geometric_coverage_area_mm2,outer_conservative_area_mm2,outer_displacement_clipped_area_mm2,outer_boundary_uncertainty_area_mm2,outer_boundary_faces,ae_over_ac_contact_diagnostic,ae_over_ac_hybrid,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.1,1.5,2.0,245.26205452039994,215.52050481863444,431.04100963726887,6.924086915679093,4.829835141371791,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9002090720611018,2.7071344799229875,0.03692755625153841,-0.02613260963717362,-0.0007119726534830252,403,candidate_not_approved
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.1,1.5,3.0,245.26205452039994,215.52050481863444,646.5615144559033,6.417594202799052,4.762125138368908,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9130086430932391,2.7456257161754594,0.03665832985772486,-0.02638139248446913,0.0003661433074221052,380,candidate_not_approved
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.1,1.5,4.0,245.26205452039994,215.52050481863444,862.0820192745377,6.28634818291023,4.738654193328305,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9175308502029724,2.759225026793472,0.03656339825811349,-0.026593441762736578,-0.0001883401164595297,371,candidate_not_approved
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.2,1.6,2.0,358.84033224315,171.71061082056082,343.42122164112163,6.778914867643126,4.753919499800533,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9145845677455896,2.750364881883233,0.03609266939997641,-0.027299997499739437,-0.0003268714176320263,397,candidate_not_approved
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.2,1.6,3.0,358.84033224315,171.71061082056082,515.1318324616825,6.479049843676625,4.720440375675947,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9210711426896913,2.769871495660827,0.035961535774417776,-0.027059751577667247,0.0007037517592776375,383,candidate_not_approved
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.2,1.6,4.0,358.84033224315,171.71061082056082,686.8424432822433,6.297865128890458,4.694171190674255,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9262255751260507,2.785372052371452,0.03585736975279274,-0.026760073201284998,-0.0004581620580424622,372,candidate_not_approved
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.3,1.7,2.0,472.83416622820005,127.75212594300923,255.50425188601847,6.752020975513003,4.6901940280309695,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9270109903422723,2.787733975483403,0.03531331197787416,-0.027301237101630998,1.9153985704863887e-05,396,candidate_not_approved
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.3,1.7,3.0,472.83416622820005,127.75212594300923,383.2563778290277,6.531551638295494,4.672066856065852,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9306077042064309,2.7985501163314264,0.035243511228482044,-0.027596284765171602,0.00034939742890874217,386,candidate_not_approved
eyelid_0p80mm_effective_indent_0p26mm,0.8,1.3,1.7,4.0,472.83416622820005,127.75212594300923,511.00850377203693,6.36229180754158,4.654217978713296,4.3478614108224,13.836830683470884,13.075013243551291,14.657535167656851,1.58252192410556,149,0.9341765750353637,2.8092825268072223,0.035174247746276185,-0.02758549787952591,-0.00019278670402802953,377,candidate_not_approved
eyelid_1p00mm_effective_indent_0p26mm,1.0,1.1,1.5,2.0,231.83261351149986,242.70159805144152,485.40319610288304,6.927780635049459,4.886217999900759,4.6018594383426,14.163556319444226,13.1423864499545,14.657649957043253,1.5152635070887523,148,0.9418039552136367,2.68968483400074,0.03379117441949772,-0.027689687231241412,-0.0008830180378924572,402,candidate_not_approved
